# M/Ms Teff L/Ls g R/Rs Li/Li0 Mv Mr Mi Mj Mh Mk Ml Mll Mm Age Z
0.08 2344.0 -3.58 5.35 0.099 0.0 20.26 17.15 14.58 11.43 10.93 10.65 10.17 9.86 10.49 9.903089986991944 0.0152
0.09 2645.0 -3.25 5.29 0.113 0.0 17.99 15.51 13.13 10.74 10.22 9.91 9.56 9.31 9.63 9.903089986991944 0.0152
0.1 2812.0 -3.06 5.25 0.124 0.0 16.47 14.51 12.33 10.32 9.79 9.48 9.17 8.96 9.17 9.903089986991944 0.0152
0.11 2917.0 -2.92 5.22 0.135 0.0 15.79 13.94 11.85 10.01 9.48 9.19 8.9 8.7 8.88 9.903089986991944 0.0152
0.13 3047.0 -2.73 5.17 0.156 0.0 14.61 13.11 11.21 9.56 9.03 8.75 8.49 8.31 8.45 9.903089986991944 0.0152
0.15 3132.0 -2.58 5.13 0.175 0.0 13.75 12.51 10.77 9.24 8.7 8.43 8.18 8.01 8.12 9.903089986991944 0.0152
0.17 3193.0 -2.46 5.1 0.193 0.0 13.26 12.09 10.43 8.97 8.43 8.16 7.92 7.76 7.85 9.903089986991944 0.0152
0.2 3264.0 -2.31 5.06 0.219 0.0 12.7 11.59 10.01 8.62 8.07 7.81 7.59 7.44 7.52 9.903089986991944 0.0152
0.3 3416.0 -1.95 4.95 0.303 0.0 11.47 10.46 9.05 7.77 7.22 6.98 6.78 6.65 6.72 9.903089986991944 0.0152
0.4 3522.0 -1.7 4.88 0.379 0.0 10.65 9.7 8.4 7.18 6.62 6.39 6.21 6.09 6.16 9.903089986991944 0.0152
0.5 3686.0 -1.44 4.79 0.469 0.0 9.69 8.82 7.69 6.57 5.98 5.77 5.62 5.53 5.61 9.903089986991944 0.0152
0.6 4001.0 -1.13 4.71 0.566 0.0 8.53 7.76 6.9 5.92 5.28 5.13 5.02 4.98 5.08 9.903089986991944 0.0152
0.7 4467.0 -0.81 4.65 0.656 0.0 7.35 6.65 6.08 5.25 4.66 4.57 4.51 4.5 4.61 9.903089986991944 0.0152
0.8 4958.0 -0.5 4.58 0.761 0.0 6.28 5.73 5.29 4.63 4.17 4.1 4.06 4.06 4.13 9.903089986991944 0.0152
0.9 5420.0 -0.19 4.47 0.914 0.063 5.34 4.9 4.53 4.0 3.64 3.59 3.56 3.56 3.61 9.903089986991944 0.0152
1.0 5772.0 0.15 4.29 1.186 0.306 4.43 4.05 3.72 3.28 2.98 2.94 2.92 2.92 2.95 9.903089986991944 0.0152
0.07 1626.0 -4.3 5.38 0.09 0.0 23.43 19.72 17.44 14.1 12.96 12.09 11.18 10.81 11.43 10.0 0.0152
0.072 1790.0 -4.12 5.38 0.091 0.0 22.46 18.98 16.68 13.23 12.35 11.7 10.88 10.54 11.23 10.0 0.0152
0.075 2037.0 -3.89 5.39 0.091 0.0 21.9 18.47 16.01 12.33 11.69 11.35 10.66 10.3 11.06 10.0 0.0152
0.08 2345.0 -3.58 5.35 0.099 0.0 20.26 17.15 14.58 11.43 10.93 10.65 10.16 9.85 10.49 10.0 0.0152
0.09 2646.0 -3.25 5.29 0.113 0.0 17.98 15.51 13.13 10.74 10.22 9.91 9.56 9.31 9.63 10.0 0.0152
0.1 2812.0 -3.06 5.25 0.124 0.0 16.47 14.51 12.33 10.32 9.79 9.48 9.17 8.96 9.17 10.0 0.0152
0.11 2917.0 -2.92 5.22 0.135 0.0 15.79 13.93 11.85 10.0 9.48 9.18 8.9 8.7 8.88 10.0 0.0152
0.13 3048.0 -2.73 5.17 0.156 0.0 14.61 13.1 11.21 9.56 9.03 8.75 8.49 8.31 8.45 10.0 0.0152
0.15 3133.0 -2.58 5.13 0.175 0.0 13.75 12.5 10.76 9.24 8.7 8.43 8.18 8.01 8.12 10.0 0.0152
0.17 3194.0 -2.46 5.1 0.193 0.0 13.26 12.08 10.42 8.96 8.42 8.15 7.92 7.76 7.85 10.0 0.0152
0.2 3265.0 -2.31 5.05 0.22 0.0 12.69 11.58 10.0 8.61 8.06 7.8 7.58 7.43 7.51 10.0 0.0152
0.3 3416.0 -1.95 4.95 0.304 0.0 11.46 10.45 9.04 7.76 7.21 6.96 6.77 6.63 6.7 10.0 0.0152
0.4 3524.0 -1.7 4.88 0.38 0.0 10.64 9.69 8.39 7.18 6.61 6.38 6.2 6.08 6.16 10.0 0.0152
0.5 3689.0 -1.43 4.79 0.471 0.0 9.67 8.81 7.68 6.56 5.97 5.76 5.6 5.52 5.6 10.0 0.0152
0.6 4013.0 -1.12 4.71 0.569 0.0 8.5 7.73 6.88 5.9 5.26 5.11 5.0 4.96 5.07 10.0 0.0152
0.7 4493.0 -0.79 4.64 0.662 0.0 7.29 6.59 6.04 5.22 4.63 4.54 4.49 4.48 4.58 10.0 0.0152
0.8 5002.0 -0.47 4.56 0.776 0.0 6.18 5.64 5.21 4.56 4.12 4.05 4.01 4.0 4.08 10.0 0.0152
0.9 5495.0 -0.12 4.42 0.964 0.063 5.15 4.72 4.36 3.85 3.5 3.45 3.43 3.43 3.47 10.0 0.0152
