Cluster,kind,RA,DEC,plx,e_plx,CMDclass,quality,logAge_16,logAge_50,logAge_84,FeH_16,FeH_50,FeH_84,Av_16,Av_50,Av_84,dMod_16,dMod_50,dMod_84,X,Y,Z,Rgc
NGC_2425,o,114.5752931340272,-14.880310731871448,0.285,0.054,0.98,0,9.39,9.45,9.52,-0.36,-0.21,-0.09,1.11,1.19,1.28,11.93,12.09,12.24,-1.626453264605631,-2.045840102818433,0.1964666460414662,9.961
HSC_1947,o,113.20996971979916,-28.674467430617085,0.364,0.042,0.98,0,8.92,9.04,9.16,-0.01,0.15,0.31,0.0,0.0,0.09,11.26,11.5,11.75,-0.9045540377084328,-1.7717195801244094,-0.112721882866743,9.199
UBC_1243,o,48.29750580127775,63.4966323287242,0.336,0.049,0.85,0,8.11,8.27,8.42,0.73,1.04,1.31,1.78,1.92,2.08,12.36,12.72,13.15,-2.589801763068653,2.3340053367810736,0.3438746348905891,10.963
Czernik_42,o,339.9005524422563,59.90945840282425,0.204,0.055,0.96,0,8.34,8.45,8.54,0.57,0.7,0.86,3.49,3.6,3.71,13.15,13.37,13.64,-1.3874863838708844,4.51103494125615,0.1402046502319921,10.525
HSC_406,o,290.2626716293401,13.590681446182495,0.321,0.072,0.28,2,6.88,7.09,7.35,-0.36,-0.09,0.18,4.39,4.67,4.9,12.4,12.87,13.39,2.490830282186594,2.8028313770418336,0.019045649199853,6.29
UPK_237,o,5.440377170862337,65.51584264177505,1.35,0.042,1.0,0,7.54,7.62,7.72,-0.03,0.1,0.22,2.11,2.18,2.24,9.37,9.53,9.7,-0.4003742119597469,0.6976100864685678,0.082266490606052,8.551
UBC_1196,o,1.961806034454279,62.21384915580102,0.352,0.041,1.0,0,8.27,8.37,8.48,0.13,0.29,0.46,1.87,1.96,2.05,12.25,12.41,12.58,-1.4184968444974508,2.681830452714597,0.0330981341577267,9.91
HSC_2873,m,255.11667094585405,-38.44006157106161,2.146,0.044,1.0,0,8.27,8.36,8.44,-0.26,-0.13,-0.01,1.09,1.17,1.24,8.17,8.3,8.42,0.4448260864462208,-0.1037929849812011,0.0592089848895767,7.678
NGC_1798,o,77.89144789707572,47.69646096577377,0.206,0.062,0.79,0,9.13,9.19,9.27,-0.43,-0.31,-0.17,1.53,1.63,1.73,12.79,12.96,13.13,-3.67451262005091,1.2877654623217474,0.3808373325118582,11.867
NGC_4590,g,189.86777395473,-26.74529757382212,0.075,0.064,0.03,1,9.52,9.64,9.77,-0.55,-0.37,-0.18,0.0,0.02,0.15,13.1,13.4,13.63,1.9202589772581984,-3.363834794301264,2.8533609698837057,7.055
HSC_2195,o,137.8694602029829,-48.964480543746525,0.896,0.04,0.01,2,7.88,8.04,8.23,-0.28,-0.08,0.11,3.19,3.36,3.5,10.51,10.85,11.17,0.010351801626161,-1.4790157956047472,0.0286658895870467,8.245
FSR_0224,o,306.3298140896646,40.19775724801624,0.58,0.028,0.33,1,6.9,7.05,7.24,0.86,1.05,1.25,2.99,3.13,3.3,10.71,11.07,11.41,0.3280730688138558,1.60316264359491,0.0793279674311964,7.957
