Cluster,kind,RA,DEC,plx,e_plx,CMDclass,quality,logAge_16,logAge_50,logAge_84,FeH_16,FeH_50,FeH_84,Av_16,Av_50,Av_84,dMod_16,dMod_50,dMod_84,X,Y,Z,Rgc
UPK_131,o,315.54213608418524,45.3194109287681,1.019,0.039,0.99,0,8.57,8.65,8.72,0.3,0.44,0.56,1.73,1.83,1.91,9.81,9.98,10.11,0.0580377688802027,0.989037086714432,0.0278780344288907,8.124
OC_0453,o,125.03380431940768,-40.47689722950712,0.429,0.041,0.93,0,7.17,7.29,7.4,0.39,0.54,0.7,3.49,3.59,3.67,11.93,12.14,12.35,-0.5520962319205065,-2.619473481573744,-0.0654604180279495,9.061
HSC_2514,o,186.09951335004104,-65.16298115671114,0.416,0.028,1.0,0,7.49,7.65,7.79,-0.11,0.09,0.27,0.89,1.03,1.13,11.52,11.85,12.13,1.174190151373975,-2.0263703234843584,-0.0612206441281175,7.237
CWNU_1500,o,194.26891313680304,-61.393566105497285,0.55,0.044,0.56,2,7.53,7.73,7.91,0.43,0.62,0.83,3.1,3.28,3.48,10.83,11.2,11.66,0.9616784918439292,-1.446859194003923,0.0837413953071394,7.305
UBC_1020,o,277.2584618951832,-12.72585103938638,0.457,0.069,0.22,0,7.93,8.04,8.17,0.04,0.21,0.38,3.34,3.42,3.51,11.25,11.49,11.71,1.8767473573053168,0.6489953603701966,0.0055809879636989,6.279
NGC_1901,o,79.57801207922317,-68.08102483727349,2.376,0.035,1.0,0,8.66,8.73,8.8,0.17,0.26,0.33,0.24,0.31,0.36,8.0,8.15,8.27,0.0525230890358887,-0.3510456089694875,-0.1950034413952263,8.077
CWNU_147,o,188.59986827872063,-58.092330887735535,1.228,0.027,1.0,0,7.98,8.07,8.17,-0.46,-0.33,-0.17,0.34,0.42,0.5,9.23,9.41,9.58,0.3876558499402973,-0.6532412549457018,0.1031131791811613,7.762
NGC_1851,g,78.53083658988456,-40.04355233909207,0.056,0.041,0.04,0,9.63,9.72,9.81,-0.69,-0.51,-0.37,0.21,0.32,0.42,13.84,14.11,14.4,-2.3486283743359597,-4.905800691238361,-3.7626641313259865,11.563
Markarian_50,o,348.81051471274503,60.44802760011459,0.326,0.032,0.99,0,7.25,7.4,7.57,-0.31,-0.1,0.16,2.07,2.24,2.37,11.5,11.86,12.22,-0.8568701289919556,2.1936103407356784,0.0339357726996275,9.243
HSC_2576,o,199.4271574261125,-62.59888046817244,0.484,0.037,0.44,1,6.96,7.09,7.21,-0.56,-0.4,-0.22,1.48,1.6,1.74,10.74,11.01,11.26,0.9347647424584212,-1.2889501438270663,0.0425086214988429,7.302
NGC_6864,g,301.5192238656765,-21.91927314555308,0.036,0.088,0.43,0,9.83,9.91,10.02,-0.45,-0.3,-0.14,0.36,0.47,0.59,14.76,15.04,15.32,8.593236332821,3.1839184857948903,-4.405000018846046,3.219
NGC_6569,g,273.41185604686336,-31.828804420583204,0.062,0.067,0.06,0,9.73,9.82,9.9,-0.36,-0.23,-0.11,1.62,1.71,1.8,14.14,14.35,14.59,7.3602851033350944,0.0615833586936966,-0.8398137158424471,0.764
HSC_1954,o,118.03081969639724,-26.80955775611257,0.168,0.049,0.3,0,9.08,9.21,9.33,-0.13,0.04,0.2,0.42,0.55,0.66,12.73,13.08,13.46,-1.8457220320985712,-3.69511068660407,0.0554840131970018,10.631
CWNU_2638,o,158.32025296665842,-55.97887394468708,0.375,0.039,0.25,0,7.9,8.04,8.21,0.32,0.46,0.65,1.72,1.8,1.92,12.1,12.34,12.61,0.7317942026745605,-2.843533255512987,0.1344457199797123,7.918
HSC_1698,o,91.78586819792643,-8.542260546638,1.228,0.056,0.05,3,7.79,8.39,8.84,0.15,0.47,0.8,0.57,0.8,0.99,9.78,10.24,10.78,-0.8827114480367815,-0.6319925739114776,-0.2205876799196151,9.027
Muzzio_1,o,134.4414712001274,-47.850666390686776,0.534,0.033,0.07,2,7.18,7.29,7.45,0.58,0.76,0.92,3.27,3.38,3.5,11.18,11.5,11.8,-0.067904122999808,-1.9934718638039688,-0.0086697327121183,8.429
UPK_549,o,146.48279242588643,-52.47734581153453,0.972,0.032,0.99,0,8.83,8.89,8.94,0.05,0.17,0.29,1.34,1.42,1.49,9.83,9.97,10.1,0.1162835603643568,-0.9793317778033026,0.0534667521026279,8.065
TPK_1,o,354.75507609508475,48.08352058455503,1.952,0.044,0.99,0,8.39,8.53,8.66,0.08,0.21,0.34,0.59,0.67,0.75,8.38,8.54,8.7,-0.1754715423800465,0.4654354323239432,-0.0732285829726994,8.311
HSC_915,o,349.069341535649,69.85701882799941,0.927,0.029,0.94,1,6.73,6.87,7.01,-0.31,-0.12,0.03,2.01,2.14,2.27,10.08,10.36,10.63,-0.4902571749804991,1.059228408483907,0.2171385096708079,8.677
HSC_1672,o,105.65400859410204,2.9451546689158032,0.745,0.042,1.0,0,8.15,8.29,8.45,0.07,0.28,0.47,0.55,0.67,0.8,10.5,10.74,11.01,-1.194872050021539,-0.7347051860121775,0.138528143356494,9.346
BH_132,o,186.7363611384866,-64.05580373829947,0.373,0.039,0.57,0,8.37,8.49,8.63,-0.03,0.13,0.28,1.55,1.66,1.79,11.5,11.73,11.99,1.1172859453106485,-1.9155289360085528,-0.0120272612094628,7.262
Berkeley_69,o,81.10388560941036,32.61034852866565,0.275,0.072,0.95,0,8.97,9.04,9.09,-0.48,-0.36,-0.23,2.16,2.23,2.31,12.03,12.2,12.35,-2.7400741284276364,0.2664297173917848,-0.0398786376670724,10.865
PHOC_6,o,280.58301431767666,-7.241293675363818,0.379,0.057,0.3,1,8.25,8.44,8.68,-1.27,-1.05,-0.84,2.28,2.51,2.7,10.8,11.21,11.61,1.57591113404919,0.7500807277932182,-0.0015501279306727,6.589
HSC_1894,o,103.65204073214296,-27.03115270875754,1.224,0.041,1.0,0,6.95,7.07,7.17,-0.27,-0.12,0.04,0.51,0.63,0.73,9.49,9.73,10.0,-0.4636912739830396,-0.7315500845659799,-0.1305345003885772,8.617
Alessi_170,o,100.44407065298944,-5.245033476215841,0.701,0.048,1.0,0,8.81,8.85,8.9,0.37,0.46,0.54,0.76,0.81,0.87,10.67,10.78,10.9,-1.147777360398587,-0.8494419831585629,-0.0686564592058414,9.309
FSR_1051,o,103.04256317364592,3.640151301340421,0.384,0.062,0.84,0,8.53,8.66,8.77,-0.56,-0.35,-0.1,1.78,1.88,1.98,11.04,11.28,11.51,-1.5640260482773432,-0.8949035481791097,0.1029173772628445,9.727
HSC_2442,o,170.40325099971474,-70.8414931300867,3.525,0.049,0.97,0,7.01,7.12,7.21,-0.12,-0.04,0.05,0.86,0.93,1.01,7.24,7.35,7.49,0.125923221743343,-0.2626094160017834,-0.006177638981,8.0
Ruprecht_56,o,122.894507965501,-40.51351684481457,0.156,0.052,0.09,0,7.99,8.13,8.26,-0.14,0.06,0.3,2.84,2.97,3.1,12.55,12.91,13.23,-0.8431717803466636,-3.7172144762274746,-0.2022761462871936,9.705
NGC_2244,o,97.99339015841268,4.905365879191723,0.659,0.074,0.88,0,6.47,6.62,6.8,0.04,0.26,0.48,1.16,1.28,1.41,10.19,10.46,10.71,-1.1069408315934073,-0.5481148518861392,-0.0003427916140532,9.245
Pismis_4,o,129.03661833388696,-44.66265564765664,1.445,0.036,1.0,0,7.87,7.95,8.05,-0.1,0.01,0.11,0.36,0.43,0.48,9.1,9.23,9.33,-0.0827201886668973,-0.6959644014260202,0.0128588972385299,8.234
HSC_480,o,295.2841648875384,23.08025307664761,0.225,0.053,0.5,0,7.12,7.25,7.39,0.5,0.67,0.87,4.81,4.93,5.04,12.24,12.57,12.87,1.682992581652499,2.798851445177938,0.0457735786116085,7.021
IC_2156,o,91.2476693745567,24.143159455216583,0.377,0.043,1.0,0,7.56,7.66,7.76,0.07,0.24,0.39,1.59,1.66,1.73,12.02,12.23,12.44,-2.774617293534133,-0.3074878633870788,0.113038051337365,10.901
IC_4756,o,279.6581481860612,5.41740485519301,2.107,0.037,0.99,0,8.7,8.81,8.91,-0.14,-0.01,0.13,0.78,0.89,1.0,8.15,8.34,8.52,0.3737066562431197,0.2745162993248904,0.0837242539627286,7.753
HSC_2763,o,239.00784316196453,-46.03797207008856,9.579,0.047,0.03,1,8.8,9.11,9.33,0.2,0.29,0.38,0.69,0.8,0.91,5.02,5.18,5.32,0.0964898790901926,-0.0488444747891174,0.0521955633246785,8.026
HSC_429,o,283.3635012198,20.6542680684406,1.574,0.027,0.99,0,8.42,8.53,8.62,-0.06,0.06,0.19,0.79,0.88,0.96,8.83,8.98,9.09,0.383275775424738,0.4847035466156753,0.1365919112032555,7.754
SAI_94,o,131.17823765894673,-46.291109962546855,0.229,0.048,0.79,0,8.94,9.04,9.11,-0.85,-0.73,-0.62,2.44,2.55,2.64,12.71,12.88,13.08,-0.3000195751643328,-3.752385964033906,-0.1003403616022085,9.22
CWNU_2487,o,165.93556613752497,-59.89572154656969,0.377,0.029,1.0,0,7.36,7.45,7.54,-0.47,-0.26,-0.1,1.11,1.17,1.23,11.3,11.49,11.7,0.6729475609504414,-1.868615115944076,0.0468910420198911,7.68
HSC_1725,o,106.24512342911068,-4.041627574229671,0.168,0.064,0.93,0,8.62,8.74,8.85,0.15,0.32,0.5,1.4,1.53,1.66,13.04,13.27,13.56,-3.547946502253529,-2.7794507520397285,0.1421497470862829,11.996
UBC_243,o,133.83672973017386,-40.73996046941456,0.485,0.038,0.93,0,8.01,8.09,8.17,0.5,0.62,0.76,2.38,2.44,2.5,11.54,11.7,11.88,-0.2902220523282874,-2.165681093104267,0.1506047079386245,8.687
UPK_85,o,304.91623401958026,23.731269718962967,1.089,0.045,0.99,0,7.7,7.83,7.96,0.18,0.32,0.45,0.71,0.8,0.88,9.88,10.03,10.24,0.4378975100878515,0.9058662963506604,-0.083666304445228,7.737
UBC_4,o,60.861358399500105,35.45625058052476,1.671,0.043,0.9,0,8.33,8.44,8.52,0.15,0.26,0.39,0.8,0.87,0.96,8.72,8.86,9.0,-0.5468221525854329,0.1850439009984026,-0.0874748870828454,8.671
HSC_1684,o,85.13056132706394,-8.357715164044775,11.806,0.03,1.0,0,7.82,8.04,8.29,-0.09,0.11,0.29,0.24,0.42,0.64,4.29,4.67,5.04,-0.0683661061084777,-0.0434312621888704,0.0130482770545166,8.19
Ruprecht_17,o,110.94665442905487,-23.232276457782547,0.849,0.045,0.9,0,8.26,8.46,8.61,0.39,0.55,0.7,0.0,0.0,0.0,10.03,10.25,10.49,-0.6068231806693323,-0.94105953640491,-0.0295734734277755,8.779
HXHWL_65,o,122.40860498481776,-27.131450321759992,0.997,0.032,0.98,0,8.44,8.57,8.68,0.17,0.36,0.55,0.0,0.0,0.12,9.69,9.99,10.22,-0.4073824856012109,-0.9063668688294932,0.0994692780878364,8.577
CWNU_2716,o,278.85884888951455,-8.500897813815666,0.388,0.061,0.91,0,8.47,8.6,8.71,-0.3,-0.13,0.05,3.85,3.98,4.1,10.84,11.13,11.39,1.5425052270842414,0.6722758190577948,0.0275640315930138,6.614
FSR_0894,o,91.10516399996898,20.30341103875657,0.273,0.073,0.05,0,6.57,6.68,6.77,0.39,0.58,0.73,3.44,3.54,3.64,12.41,12.68,13.01,-3.3872406576876752,-0.5732426586958994,0.0096702918912134,11.524
King_25,o,291.1299622396447,13.69125775114963,0.314,0.066,0.99,0,7.47,7.57,7.67,0.28,0.41,0.52,4.76,4.85,4.94,12.43,12.64,12.88,2.2186338309991296,2.5397463690212327,-0.0195828747180898,6.427
HSC_2712,o,253.5120288972122,-65.93110289382786,3.884,0.045,0.7,0,7.88,8.04,8.2,0.19,0.29,0.4,0.48,0.57,0.67,6.94,7.11,7.28,0.2085330138167815,-0.1493680869521255,-0.0219413608028591,7.915
Teutsch_J0450.9+5209,o,72.97452069555212,52.19392929640424,3.325,0.041,0.06,0,8.09,8.27,8.43,0.1,0.26,0.42,1.12,1.26,1.37,7.23,7.45,7.68,-0.2792857388800751,0.129217987182831,0.0696458341823275,8.402
Ruprecht_170,o,276.3450852922676,-10.009750360812015,0.475,0.049,0.09,0,7.8,8.01,8.19,-0.29,-0.1,0.09,2.83,2.97,3.11,11.05,11.41,11.69,1.786118393744923,0.6878170288216936,0.0756544663096926,6.373
HSC_2659,o,220.2370921383133,-58.77265469042894,0.462,0.042,0.98,0,8.49,8.68,8.85,-0.91,-0.68,-0.47,1.84,2.0,2.19,10.93,11.25,11.58,1.2946162476402143,-1.218727958910234,0.0734991265883514,6.935
HSC_1724,o,109.92884370730502,-1.937087104706055,6.518,0.06,0.01,0,8.55,8.85,9.07,0.38,0.5,0.61,0.35,0.47,0.57,5.81,5.98,6.14,-0.1233053043494418,-0.0960314865423149,0.0566857541393547,8.246
Melotte_22,o,56.601469185834034,24.190773278372085,7.373,0.062,1.0,0,7.85,7.94,8.02,0.03,0.1,0.16,0.6,0.67,0.73,5.58,5.7,5.82,-0.1231041534026804,0.0297389907565054,-0.0132544331128369,8.245
NGC_6229,g,251.7455014868476,47.52778975233221,0.003,0.064,0.45,1,9.86,9.98,10.11,-0.87,-0.67,-0.48,0.46,0.61,0.76,14.42,14.76,15.13,1.9382738683017635,6.551524490605515,5.8285275825788165,9.009
Lynga_5,o,235.46607775738096,-56.67939667202232,0.339,0.053,0.28,0,7.78,7.87,7.97,0.01,0.13,0.27,4.3,4.4,4.48,12.46,12.7,12.9,2.831420421705081,-1.999834121683856,-0.039128248931907,5.656
UBC_303,o,221.85581767387828,-56.24541997287009,0.555,0.043,1.0,0,8.79,8.87,8.95,0.06,0.21,0.32,1.47,1.56,1.64,10.9,11.06,11.24,1.2202819870810817,-1.0763571278919484,0.1254914071298679,6.985
HSC_1735,o,112.63445478904138,-2.6014951528556827,0.47,0.044,1.0,0,8.97,9.1,9.22,-0.18,-0.01,0.2,0.08,0.21,0.3,11.35,11.62,11.82,-1.606621333396001,-1.336895296053528,0.3203578722409756,9.82
NGC_6624,g,275.9169795180897,-30.36082866739155,0.095,0.06,0.12,0,9.76,9.85,9.93,-0.54,-0.43,-0.3,0.77,0.87,0.95,14.5,14.72,14.92,8.693146063383585,0.4234534451741432,-1.1906419704293674,0.711
OC_0043,o,279.33836419036305,-7.562146241964879,0.359,0.049,0.64,1,6.98,7.15,7.35,0.33,0.53,0.77,4.31,4.47,4.62,11.49,11.85,12.24,2.1313872049143487,0.9758820702112688,0.0224939840168586,6.07
FSR_0088,o,282.66605982889035,-4.151450417006306,0.245,0.07,0.09,1,7.61,7.74,7.84,0.18,0.3,0.43,4.78,4.87,4.96,12.82,13.09,13.29,3.6221265065057695,2.0201913121043864,-0.0922107808278081,4.933
HSC_2056,o,114.39902647326824,-43.49957235391128,2.284,0.039,0.98,0,7.13,7.21,7.32,-0.27,-0.15,-0.05,1.0,1.07,1.15,8.14,8.3,8.47,-0.1041764707683494,-0.4370197407679463,-0.042572871203526,8.238
NGC_6940,o,308.63335623245774,28.2920171705048,0.959,0.032,1.0,0,8.86,8.93,8.99,0.04,0.17,0.3,0.7,0.78,0.86,9.98,10.12,10.28,0.3603790571549545,0.9845893326465772,-0.0910394543766667,7.824
HSC_351,o,284.89988785842,5.231760894558225,0.726,0.058,0.98,0,6.67,6.83,6.97,-0.1,0.11,0.31,4.44,4.55,4.7,10.57,10.88,11.27,1.1733900058566729,0.9338780883992632,0.0536299269182022,7.011
UFMG_95,o,270.66468331144875,-29.38351067696277,0.845,0.039,1.0,0,7.37,7.54,7.7,-1.35,-1.16,-0.95,1.04,1.24,1.41,9.39,9.74,10.04,0.8851478710806546,0.0231221697309103,-0.0138215699375694,7.237
Berkeley_18,o,80.54043977949455,45.44057063978857,0.165,0.082,0.2,0,9.4,9.49,9.58,-0.22,-0.07,0.07,1.48,1.57,1.67,13.4,13.59,13.79,-4.990717438393897,1.4697719914263982,0.5127918148533438,13.195
NGC_6649,o,278.35993418221483,-10.399111934725122,0.471,0.065,0.99,0,7.55,7.63,7.7,0.45,0.56,0.66,4.48,4.55,4.62,11.41,11.58,11.73,1.9240384924164615,0.7632594018967742,0.0084539958246573,6.245
HSC_1831,o,111.70452555463748,-16.3174645491658,0.338,0.052,0.76,0,8.27,8.39,8.5,0.18,0.32,0.46,2.0,2.09,2.18,12.39,12.62,12.84,-2.0833490190002664,-2.613028756436733,0.0576961124380005,10.535
Theia_3308,o,330.14486662678723,53.08254369392462,0.391,0.028,0.98,0,7.48,7.59,7.7,0.34,0.5,0.67,2.34,2.42,2.5,12.02,12.24,12.46,-0.4328902608805336,2.77073048843144,-0.0364603590841502,8.992
Theia_139,o,83.40278030506006,-1.296250268254967,3.056,0.057,0.98,0,7.43,7.55,7.65,-0.07,0.02,0.14,0.39,0.46,0.54,7.52,7.66,7.81,-0.2939402308327477,-0.1368151067993031,-0.0620476947129903,8.417
HSC_19,o,271.0991376969821,-29.016072205947065,0.114,0.053,0.02,1,8.93,9.07,9.23,-0.37,-0.2,0.02,2.92,3.12,3.37,12.83,13.23,13.62,4.413821705995206,0.1543971837212314,-0.2465341806694682,3.711
HSC_2139,o,127.31628533386352,-49.91929175246969,5.294,0.042,0.99,0,7.12,7.24,7.35,-0.24,-0.14,-0.06,0.45,0.54,0.63,6.25,6.39,6.52,-0.0105807620591136,-0.1881889763041677,0.0204499204587012,8.135
Czernik_3,o,15.769340470077305,62.78701587051443,0.219,0.059,0.96,0,8.56,8.64,8.71,0.4,0.54,0.66,3.05,3.16,3.24,12.7,12.91,13.15,-2.150242452478171,3.15665677319204,0.04346420936951,10.746
Berkeley_23,o,98.31015677331516,20.531603250137152,0.184,0.091,0.98,0,9.27,9.35,9.44,-0.63,-0.49,-0.32,1.15,1.26,1.36,12.73,12.92,13.1,-3.727263194879093,-0.8329995401909349,0.4111231018692082,11.879
Pismis_1,o,124.5825789804045,-37.09695100039245,0.175,0.046,1.0,0,7.93,8.03,8.14,0.04,0.21,0.4,1.78,1.86,1.94,12.93,13.14,13.35,-1.0909399820879957,-4.103355499031539,-0.0078257019341492,10.085
Teutsch_38,o,131.48627692174256,-37.94815130559372,1.518,0.039,1.0,0,6.94,7.07,7.19,-0.34,-0.23,-0.09,0.41,0.49,0.58,9.01,9.18,9.37,-0.129956422586762,-0.6719435035318952,0.0802062391156323,8.279
COIN-Gaia_36,o,36.2171911259068,59.97447416976115,0.451,0.049,0.95,0,7.65,7.73,7.84,0.34,0.49,0.62,2.77,2.82,2.88,11.74,11.9,12.09,-1.6775380402768327,1.7144420363663282,0.0121952156879582,9.948
HSC_730,o,318.8833777536289,51.83828995679968,1.638,0.054,0.8,0,7.26,7.36,7.44,-0.48,-0.33,-0.15,1.65,1.76,1.86,8.76,8.96,9.14,-0.0315567448810831,0.6182500276577847,0.0634320631092671,8.177
HSC_267,o,278.39230178080027,-4.576908109577286,0.738,0.054,0.08,2,7.25,7.4,7.54,0.24,0.46,0.64,4.32,4.45,4.61,11.1,11.4,11.71,1.699764515667912,0.8592495018411819,0.0995825361123859,6.479
Collinder_135,o,109.41203900744982,-36.90407176305445,3.333,0.04,0.99,0,7.34,7.42,7.51,0.05,0.14,0.22,0.5,0.57,0.64,7.27,7.41,7.53,-0.107406291123711,-0.2777064669894047,-0.0165570459464797,8.234
HSC_936,o,356.7881114973456,68.23915092365775,0.207,0.049,0.05,1,8.8,8.92,9.05,-0.28,-0.07,0.13,3.13,3.28,3.48,12.17,12.52,12.91,-1.4401594703585625,2.827341790847295,0.3849893758320925,9.971
HSC_1081,o,32.37571954457408,58.70391073642279,0.247,0.051,0.51,0,8.19,8.35,8.49,-0.54,-0.32,-0.11,1.76,1.88,2.0,12.4,12.7,13.02,-2.359778008558866,2.535802261759312,-0.1122612523194919,10.784
NGC_5316,o,208.5285168979711,-61.88420016500125,0.674,0.038,1.0,0,8.37,8.43,8.52,-0.18,-0.05,0.09,0.97,1.04,1.1,10.46,10.6,10.74,0.8516824853810778,-1.0062222116860928,0.041592320032771,7.34
Ferrero_11,o,93.75307636624753,0.5781456398332017,1.227,0.051,0.98,0,8.05,8.13,8.21,0.04,0.15,0.25,0.77,0.82,0.88,9.44,9.57,9.67,-0.7162683263665794,-0.3844626202132504,-0.0683394372903778,8.847
HSC_1685,o,103.35450301200092,-0.5877147489312973,0.198,0.065,0.83,0,7.77,7.88,8.02,-0.15,0.12,0.31,1.69,1.79,1.89,12.62,12.88,13.1,-3.134628139948447,-2.0890523347261176,0.0609651386573723,11.449
Collinder_261,o,189.5117757519596,-68.37774175855101,0.345,0.055,0.81,0,9.69,9.76,9.83,-0.37,-0.25,-0.14,1.18,1.24,1.33,11.7,11.86,12.0,1.2309361924315612,-1.9944966055013988,-0.1888388831843314,7.174
NGC_6453,g,267.7160080165022,-34.593417022644104,0.05,0.057,0.06,1,9.41,9.57,9.73,-1.13,-0.88,-0.64,2.96,3.14,3.36,12.42,12.81,13.21,3.6284703302544576,-0.271434672901893,-0.2138676894469174,4.502
HSC_939,m,7.588792857225428,33.297277033594455,0.277,0.076,0.02,0,9.79,9.91,10.02,-1.11,-0.9,-0.74,0.61,0.74,0.89,11.86,12.16,12.44,-1.1052097675011758,2.083011448969791,-1.2816182871174409,9.459
NGC_6134,o,246.9453448204526,-49.16740533139927,0.876,0.043,1.0,0,9.09,9.17,9.24,-0.09,0.09,0.21,1.11,1.21,1.31,9.9,10.05,10.19,0.9267253028038978,-0.4339591820346404,0.0354719179884243,7.208
NGC_637,o,25.76023421033689,64.04330030931106,0.345,0.035,1.0,0,7.19,7.25,7.32,0.31,0.45,0.56,1.86,1.91,1.97,12.12,12.28,12.46,-1.779474803266421,2.234032753884681,0.1326823987297158,10.15
HSC_553,o,296.0991858016547,34.879088865733266,0.425,0.026,0.93,0,8.61,8.73,8.84,-0.3,-0.1,0.05,1.06,1.17,1.31,11.6,11.83,12.05,0.8065422393239841,2.1675621103347016,0.2568052535703226,7.63
UPK_119,o,308.5880396765468,43.33581361168049,1.28,0.034,0.99,0,8.69,8.78,8.87,0.04,0.15,0.28,1.27,1.34,1.42,9.36,9.48,9.63,0.1099916171274362,0.778929821697001,0.0664417070014352,8.05
HSC_1345,m,78.47150342641773,34.03662232614695,0.287,0.058,0.87,0,8.29,8.4,8.49,0.26,0.47,0.64,1.52,1.63,1.71,12.27,12.46,12.69,-3.071072118177481,0.4307627177571184,-0.1036107859468826,11.201
Pismis_22,o,243.5544972339676,-51.86668871931027,0.184,0.046,0.04,3,5.44,5.74,5.97,0.54,0.9,1.25,5.06,5.43,5.7,12.12,12.84,13.45,3.2491057487337205,-1.7659369979190185,-0.005725265405262,5.183
HSC_34,o,266.6819431751891,-25.86260176456413,0.701,0.044,1.0,0,8.0,8.21,8.44,-1.16,-0.92,-0.69,2.24,2.41,2.61,9.83,10.14,10.42,1.065141331660353,0.0512246247070401,0.0647085312043814,7.057
HSC_1601,o,89.7828743437695,5.520340588497073,0.636,0.044,0.2,0,8.6,8.74,8.87,-0.27,-0.03,0.26,1.96,2.1,2.22,11.0,11.3,11.54,-1.667782837068156,-0.6715416593581445,-0.2390324699597767,9.813
Theia_5292,o,40.0297235132835,48.80475944479068,0.95,0.053,1.0,0,8.66,8.75,8.84,0.29,0.42,0.52,0.39,0.48,0.55,10.0,10.14,10.33,-0.8129371025031364,0.6643104926545569,-0.1465723106681765,8.96
BH_87,o,151.19313352008484,-55.37541215081578,0.431,0.047,0.9,0,8.11,8.24,8.4,0.25,0.39,0.53,1.67,1.74,1.82,11.65,11.87,12.06,0.4408731695704437,-2.3244798552630237,0.0464733351203099,8.025
CWNU_2556,o,353.75136908806513,56.69085776465362,0.176,0.058,0.11,0,8.46,8.63,8.76,-0.42,-0.23,-0.05,1.88,1.98,2.09,12.84,13.11,13.37,-1.6010394677728446,3.855362145061624,-0.292428572114657,10.46
UBC_516,o,182.54436151557687,-62.33305730087962,0.3,0.04,0.99,0,8.62,8.71,8.8,-0.79,-0.66,-0.51,1.88,1.95,2.03,11.55,11.74,11.93,1.0517996589187095,-1.9646081908782085,0.0449726300856101,7.338
Saurer_2,o,126.35105052121968,-39.64249966024436,0.122,0.056,0.26,0,9.18,9.29,9.4,-0.35,-0.16,0.02,3.56,3.69,3.82,13.87,14.09,14.31,-1.3679803789839458,-6.431729073126663,-0.0715417083107497,11.464
UBC_183,o,5.006857198091738,55.69654070608768,0.913,0.042,1.0,0,8.39,8.62,8.78,-0.33,-0.1,0.14,0.44,0.59,0.72,9.58,9.83,10.1,-0.4380525324813735,0.8068750780055938,-0.0684271120237626,8.598
CWNU_2377,o,264.0564565002748,-34.846933578193884,0.438,0.07,0.6,0,8.09,8.31,8.51,-1.01,-0.8,-0.61,4.27,4.44,4.6,10.35,10.77,11.1,1.4170984905073771,-0.1506932332043767,0.0021549299562794,6.707
ESO_430-09,o,120.59211103616788,-29.77500042598665,0.274,0.04,1.0,0,7.44,7.57,7.68,0.47,0.66,0.87,1.37,1.45,1.52,12.97,13.23,13.46,-1.7175340050034702,-4.078791160434271,0.0851299481880004,10.651
HSC_2887,m,246.98381773262963,-29.359366432749464,0.105,0.067,0.03,0,9.54,9.65,9.74,-0.18,-0.02,0.19,0.79,0.92,1.05,14.42,14.71,15.0,8.375019682787846,-1.5555574622953057,2.041448270076966,1.576
NGC_7062,o,320.8398600849567,46.372234115128045,0.404,0.039,0.95,0,8.71,8.77,8.82,0.24,0.35,0.48,1.36,1.43,1.48,11.43,11.57,11.71,0.0018136367696186,2.0582703908432585,-0.056966953192911,8.377
UBC_1582,o,123.25672656530544,-37.59910079918961,0.286,0.036,0.88,0,7.82,7.94,8.05,-0.11,0.02,0.18,1.75,1.82,1.88,12.47,12.69,12.88,-0.8963865034893512,-3.3311899116624115,-0.0681148115254927,9.614
UBC_1346,o,101.09094081491456,-3.580028128116641,0.418,0.052,1.0,0,7.98,8.11,8.24,-0.04,0.13,0.27,0.86,0.95,1.03,11.55,11.74,11.92,-1.81580180399528,-1.2862021628272935,-0.0782928482167415,10.021
NGC_2627,o,129.30379919139216,-29.95623284416674,0.547,0.032,1.0,0,9.14,9.21,9.27,0.03,0.16,0.27,0.29,0.35,0.41,11.09,11.21,11.32,-0.5473992940385273,-1.6452516314524592,0.2449885745956735,8.824
Berkeley_49,o,299.8682977062749,34.62852962286509,0.306,0.049,0.18,1,7.7,7.8,7.9,-0.08,0.09,0.25,4.14,4.22,4.31,12.4,12.64,12.83,1.0993556285880146,3.185225681454848,0.1902135183084713,7.711
UPK_194,o,336.4997406679883,64.98018513517201,1.064,0.036,0.17,1,7.06,7.16,7.28,-0.27,-0.11,0.04,1.84,1.95,2.04,9.81,10.0,10.25,-0.3121050593554511,0.9435469731439996,0.1524734212974515,8.487
OC_0145,o,318.6225996948956,50.41387978420666,0.349,0.054,1.0,0,7.66,7.81,7.95,0.13,0.31,0.48,4.45,4.52,4.62,12.04,12.37,12.62,-0.0927567072819339,2.9764724868328853,0.1012900922240338,8.737
HSC_152,o,272.46697622028483,-18.658602149972584,0.599,0.051,0.33,0,8.22,8.53,8.8,-2.47,-2.11,-1.75,2.98,3.25,3.56,10.19,10.83,11.57,1.43528360448565,0.2963750985736317,0.0470500823201215,6.693
UBC_1252,o,54.73083850803567,51.89209992382142,0.372,0.06,0.98,0,7.29,7.39,7.48,0.23,0.4,0.57,2.88,2.94,3.02,11.87,12.08,12.29,-2.190397371647201,1.406554142085909,-0.0836375645445975,10.408
Alessi_37,o,341.8979459046052,46.506424139582585,1.381,0.034,1.0,0,8.24,8.31,8.38,0.24,0.34,0.42,0.53,0.58,0.63,9.22,9.31,9.41,-0.1459713711791135,0.6988710352995099,-0.0995640975265303,8.297
HSC_2817,o,252.8958616774822,-46.90298972220816,1.298,0.043,0.99,0,8.56,8.71,8.85,0.05,0.21,0.34,0.06,0.17,0.27,9.22,9.44,9.72,0.7221844976135099,-0.273724765287212,0.0171447490949211,7.405
