Cluster,RA_ICRS,DE_ICRS,r50,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,NRV,Dist,e_Dist,logage,e_logage,[Fe/H],e_[Fe/H],Av,e_Av,FileName,SimbadName,_RA.icrs,_DE.icrs,name,new_x,new_y,bandwidth,memb,new_ra,new_dec
Gulliver_9       ,126.7441,-47.8198,0.872,236,-5.998,0.295,6.893,0.379,1.977,0.094,  29.621,  3.034, 16,477,7,7.326,0.031,-0.038,0.067,0.402,0.063,clusters1/Gulliver_9.dat       ,Cl Gulliver 9           ,126.7441,-47.8198,Gulliver_9,1.3518046143508575,-0.437360218982235,5.8,0.5,126.98616618258227,-47.87208019843271
Haffner_10       ,112.1592,-15.3688,0.03,163,-1.126,0.164,1.562,0.155,0.261,0.1,        ,       ,   ,3661,432,9.704,0.096,0.308,0.067,1.263,0.056,clusters1/Haffner_10.dat       ,Cl Haffner 10           ,112.1592,-15.3688,Haffner_10,-0.4369149638147762,0.5125821982355285,1.6,0.5,112.15210882781723,-15.36077781828101
Haffner_11       ,113.8656,-27.7096,0.047,160,-1.475,0.138,3.157,0.124,0.145,0.063,  98.935,  0.925,  2,4886,228,8.911,0.045,-0.155,0.084,1.91,0.053,clusters1/Haffner_11.dat       ,Cl Haffner 11           ,113.8656,-27.7096,Haffner_11,-0.9464268970795348,0.2370092195978319,3.0,0.5,113.85306434586266,-27.706820141969775
Haffner_13       ,115.2406,-30.0685,0.307,203,-6.192,0.258,5.887,0.215,1.736,0.08,  33.885,  6.225,  8,561,4,7.63,0.05,0.086,0.045,0.174,0.035,clusters1/Haffner_13.dat       ,Cl Haffner 13           ,115.2406,-30.0685,Haffner_13,-0.0500130533282145,0.2457487176677606,2.6,0.5,115.23469931257326,-30.043401178745082
Haffner_14       ,116.1813,-28.382,0.075,191,-1.825,0.093,1.723,0.104,0.231,0.044,  70.045,  0.916,  4,3062,113,8.563,0.196,-0.056,0.079,1.937,0.116,clusters1/Haffner_14.dat       ,Cl Haffner 14           ,116.1813,-28.382,Haffner_14,0.244082423087093,-0.2060397847836679,3.2,0.5,116.18649142753678,-28.385855293573993
Haffner_15       ,116.381,-32.8469,0.032,170,-2.151,0.117,3.276,0.14,0.236,0.054,        ,       ,   ,3046,796,6.83,0.134,-0.355,0.432,3.12,0.05,clusters1/Haffner_15.dat       ,Cl Haffner 15           ,116.381,-32.8469,Haffner_15,-0.1618185529083557,0.2137203974764387,1.0,0.5,116.37737708160971,-32.842879830672146
Haffner_16       ,117.5867,-25.465,0.033,99,-2.818,0.096,2.995,0.126,0.3,0.054,        ,       ,   ,2862,186,7.513,0.21,-0.16,0.127,0.75,0.037,clusters1/Haffner_16.dat       ,Cl Haffner 16           ,117.5867,-25.465,Haffner_16,-0.0245059496032107,0.394850675371778,1.3,0.5,117.58615664793525,-25.45709528994724
Haffner_17       ,117.8966,-31.8101,0.025,111,-1.181,0.14,1.873,0.121,0.243,0.06,  41.865,  0.519,  4,2949,272,8.114,0.526,0.338,0.147,3.225,0.069,clusters1/Haffner_17.dat       ,Cl Haffner 17           ,117.8966,-31.8101,Haffner_17,0.1513943397996637,-0.2131838555827161,0.7,0.5,117.90006146826695,-31.81424187761339
Haffner_19       ,118.1906,-26.2709,0.017,40,-2.469,0.113,2.496,0.119,0.159,0.062,        ,       ,   ,3745,413,7.938,0.51,-0.21,0.159,1.221,0.131,clusters1/Haffner_19.dat       ,Cl Haffner 19           ,118.1906,-26.2709,Haffner_19,0.1648802604534633,-0.3865600454487965,0.8,0.5,118.19341325396768,-26.276814060485513
Haffner_20       ,119.0604,-30.3632,0.019,52,-2.316,0.118,3.43,0.111,0.172,0.051,        ,       ,   ,3670,550,7.941,0.616,-0.103,0.145,2.231,0.118,clusters1/Haffner_20.dat       ,Cl Haffner 20           ,119.0604,-30.3632,Haffner_20,0.1969841775345999,-0.4574493030087674,1.1,0.5,119.06396443016466,-30.370341617714885
Haffner_21       ,120.2903,-27.2185,0.027,65,-1.424,0.096,1.566,0.084,0.283,0.05,        ,       ,   ,2736,71,8.457,0.175,-0.089,0.049,0.848,0.091,clusters1/Haffner_21.dat       ,Cl Haffner 21           ,120.2903,-27.2185,Haffner_21,-0.0337128350421704,0.3365976856968236,1.2,0.5,120.28950614476321,-27.211451157546243
Haffner_22       ,123.1043,-27.9024,0.075,184,-1.635,0.088,2.875,0.075,0.331,0.032,  33.086,  0.602, 17,2702,91,9.387,0.029,-0.347,0.101,0.7,0.128,clusters1/Haffner_22.dat       ,Cl Haffner 22           ,123.1043,-27.9024,Haffner_22,0.0702787604684189,-0.493129012315908,2.2,0.5,123.10598645938157,-27.91285676668607
Haffner_23       ,107.3846,-16.9038,0.135,76,-0.528,0.076,-0.07,0.074,0.448,0.035,        ,       ,   ,1893,58,8.408,0.272,-0.091,0.049,1.025,0.096,clusters1/Haffner_23.dat       ,Cl Haffner 23           ,107.3846,-16.9038,Haffner_23,1.08951392517322,1.5903134514399735,3.7,0.5,107.41905684693344,-16.855662801142053
Haffner_26       ,123.9064,-30.8481,0.063,67,-1.584,0.081,2.371,0.077,0.305,0.04,  55.051,  0.792,  4,2519,135,8.769,0.196,-0.121,0.069,0.757,0.129,clusters1/Haffner_26.dat       ,Cl Haffner 26           ,123.9064,-30.8481,Haffner_26,-0.2112987223539733,0.0766265504913796,1.6,0.5,123.90080206172111,-30.84635697451349
Haffner_3        ,106.0267,-6.1261,0.045,45,-1.168,0.133,-0.896,0.087,0.382,0.063,  54.428,  0.513,  2,2329,81,8.547,0.147,-0.115,0.073,1.459,0.113,clusters1/Haffner_3.dat        ,Cl Haffner 3            ,106.0267,-6.1261,Haffner_3,-0.0302518882101665,-0.2364860363025611,1.4,0.5,106.02595149011248,-6.13191779759938
Haffner_4        ,106.5099,-14.9997,0.024,71,-0.39,0.11,0.918,0.118,0.24,0.068,        ,       ,   ,4022,372,8.625,0.61,-0.126,0.016,1.6,0.138,clusters1/Haffner_4.dat        ,Cl Haffner 4            ,106.5099,-14.9997,Haffner_4,0.1429340607280593,-0.3419082625894232,1.9,0.5,106.51200805435568,-15.004570676643125
Haffner_5        ,109.4881,-22.6577,0.061,189,0.974,0.131,-4.062,0.137,0.57,0.053,  -7.181,  0.359,  7,1588,57,9.714,0.072,-0.103,0.107,0.808,0.134,clusters1/Haffner_5.dat        ,Cl Haffner 5            ,109.4881,-22.6577,Haffner_5,0.1813560722820897,-0.1226032983903206,1.1,0.5,109.49519087689914,-22.662123428126346
Haffner_6        ,109.9983,-13.1532,0.049,186,-1.226,0.106,1.964,0.114,0.212,0.063,  69.560,  2.121,  2,3860,134,8.835,0.098,-0.183,0.094,1.939,0.1,clusters1/Haffner_6.dat        ,Cl Haffner 6            ,109.9983,-13.1532,Haffner_6,-0.3182791080118186,0.1873643435619705,2.1,0.5,109.99344840734119,-13.150418818183235
Haffner_7        ,110.7384,-29.5033,0.032,80,-1.548,0.11,2.921,0.127,0.197,0.054,        ,       ,   ,3928,263,8.856,0.076,-0.13,0.178,0.842,0.121,clusters1/Haffner_7.dat        ,Cl Haffner 7            ,110.7384,-29.5033,Haffner_7,-0.4778582839835898,0.2969613936698927,1.3,0.5,110.73039153885216,-29.49896813215938
Haffner_8        ,110.7839,-12.3153,0.042,111,-1.634,0.109,0.448,0.097,0.311,0.054,  61.879,  0.404,  2,2508,124,8.457,0.319,-0.078,0.098,1.293,0.142,clusters1/Haffner_8.dat        ,Cl Haffner 8            ,110.7839,-12.3153,Haffner_8,-0.3940493800905931,0.368133776074294,1.6,0.5,110.77468612494577,-12.30688975321305
Haffner_9        ,111.1738,-17.001,0.036,138,-0.844,0.145,0.423,0.154,0.337,0.071,        ,       ,   ,2604,248,7.981,0.394,-0.172,0.071,2.234,0.2,clusters1/Haffner_9.dat        ,Cl Haffner 9            ,111.1738,-17.001,Haffner_9,0.0848352215325336,0.1677690348400586,1.5,0.9,111.17575188981819,-16.997308570720385
Harvard_10       ,244.8537,-54.9453,0.304,156,-1.918,0.185,-10.568,0.19,1.419,0.059, -15.368,  5.423, 18,687,12,8.281,0.185,-0.004,0.104,0.554,0.101,clusters1/Harvard_10.dat       ,Cl Harvard 10           ,244.8537,-54.9453,Harvard_10,-0.0017936645867742,-0.1076353682549644,2.9,0.5,244.85343949186725,-54.95427678626102
Harvard_13       ,255.9976,-48.0848,0.072,57,-2.751,0.134,-7.207,0.105,0.806,0.036,  -3.499,  0.791, 11,1089,19,9.049,0.058,0.143,0.111,1.628,0.102,clusters1/Harvard_13.dat       ,Cl Harvard 13           ,255.9976,-48.0848,Harvard_13,0.0339807202681692,-0.4817088526511779,0.7,0.5,256.0002775985201,-48.1101442160311
Harvard_16       ,262.78,-36.8051,0.125,354,-0.646,0.189,-0.766,0.165,0.623,0.075,        ,       ,   ,1331,89,7.365,0.04,0.181,0.086,2.275,0.055,clusters1/Harvard_16.dat       ,Cl Harvard 16           ,262.78,-36.8051,Harvard_16,-0.117649107622638,-0.2026122697891104,2.6,0.5,262.7736740643919,-36.813821716788844
Harvard_20       ,298.3231,18.3357,0.075,46,-1.737,0.095,-4.451,0.094,0.48,0.056,        ,       ,   ,1912,97,7.999,0.184,0.005,0.117,0.889,0.061,clusters1/Harvard_20.dat       ,Cl Harvard 20           ,298.3231,18.3357,Harvard_20,-0.0845356070574521,0.6554882674738796,1.2,0.5,298.3204309758933,18.35534261322849
Harvard_5        ,186.8164,-60.765,0.07,52,-7.062,0.117,-0.33,0.104,0.756,0.043,        ,       ,   ,1177,58,8.216,0.17,0.078,0.136,0.759,0.087,clusters1/Harvard_5.dat        ,Cl Harvard 5            ,186.8165,-60.765,Harvard_5,-0.2188492536002955,-0.1711388387078201,1.0,0.5,186.79458100140212,-60.77332918418237
Hogg_10          ,167.6866,-60.3877,0.039,16,-6.189,0.071,1.765,0.057,0.383,0.025,        ,       ,   ,2460,160,6.793,0.468,0.017,0.123,1.38,0.051,clusters1/Hogg_10.dat          ,Cl Hogg 10              ,167.6867,-60.3877,Hogg_10,-0.4359184127835127,0.2884000393207264,0.9,0.5,167.66605702954723,-60.38098130170053
Hogg_16          ,202.2997,-61.2087,0.047,46,-3.479,0.095,-1.645,0.146,0.431,0.065,        ,       ,   ,1943,131,7.494,0.262,0.11,0.141,1.422,0.107,clusters2/Hogg_16.dat          ,Cl Hogg 16              ,202.2997,-61.2087,Hogg_16,-0.1198842866374572,-0.0205410598038868,1.4,0.5,202.29235967333597,-61.2093055226098
Hogg_17          ,218.4643,-61.3275,0.051,52,-5.188,0.08,-2.45,0.087,0.413,0.054, -43.793,  0.323,  2,2174,130,7.944,0.283,0.209,0.171,1.944,0.032,clusters1/Hogg_17.dat          ,Cl Hogg 17              ,218.4643,-61.3275,Hogg_17,-0.0596237064219655,0.1541367179554273,1.2,0.5,218.46102536192822,-61.32343768672199
Hogg_18          ,222.6944,-52.2854,0.063,25,-1.794,0.176,-2.279,0.14,0.562,0.035,        ,       ,   ,1619,72,7.497,0.302,-0.018,0.08,1.78,0.121,clusters1/Hogg_18.dat          ,Cl Hogg 18              ,222.6944,-52.2854,Hogg_18,0.2355466322121655,0.2672616813100767,1.4,0.5,222.7080238913616,-52.27594092913738
Hogg_19          ,247.2298,-49.1054,0.04,45,-2.071,0.09,-3.12,0.082,0.368,0.04,        ,       ,   ,2514,252,7.127,0.406,0.098,0.21,2.347,0.07,clusters1/Hogg_19.dat          ,Cl Hogg 19              ,247.2298,-49.1054,Hogg_19,0.2741687696694885,-0.2989724951519084,1.4,0.5,247.23934581088133,-49.11221339420299
Hogg_21          ,251.4054,-47.7467,0.041,55,-0.96,0.136,-2.207,0.122,0.377,0.062,  -2.217,  1.298,  2,2311,105,7.767,0.51,0.169,0.052,1.936,0.11,clusters1/Hogg_21.dat          ,Cl Hogg 21              ,251.4054,-47.7467,Hogg_21,0.3569570151481187,-0.1086178530382211,1.4,0.5,251.41856216329177,-47.749392170384624
Hogg_22          ,251.6599,-47.0782,0.044,117,-0.75,0.254,-2.013,0.339,0.343,0.138,        ,       ,   ,2354,171,7.076,0.06,0.12,0.081,2.097,0.04,clusters2/Hogg_22.dat          ,Cl Hogg 22              ,251.6599,-47.0782,Hogg_22,0.2054778733807465,0.0546971816053876,1.3,0.9,251.66724384609404,-47.07686844937769
Hogg_4           ,149.423,-54.6082,0.068,269,-5.016,0.108,4.503,0.116,0.205,0.051,  26.578,  1.574,  5,3706,167,8.992,0.07,-0.044,0.115,1.926,0.077,clusters1/Hogg_4.dat           ,Cl Hogg 4               ,149.423,-54.6082,Hogg_4,-0.230774555990088,0.0143382396322522,2.5,0.5,149.41683971455936,-54.607978170511736
IC_1311          ,302.6926,41.1742,0.037,435,-3.366,0.152,-5.048,0.158,0.131,0.075, -61.041,  0.830,  7,6686,418,9.148,0.042,0.143,0.083,1.554,0.118,clusters1/IC_1311.dat          ,IC 1311                 ,302.6926,41.1742,IC_1311,0.7281961178664886,0.3769406335890366,2.1,0.5,302.7008908206473,41.17742990130103
IC_1369          ,318.0236,47.7679,0.038,195,-4.638,0.157,-5.6,0.142,0.265,0.064, -47.338,  1.030, 10,2812,202,8.52,0.407,-0.023,0.01,2.494,0.09,clusters1/IC_1369.dat          ,IC 1369                 ,318.0236,47.7679,IC_1369,0.2948518370751589,0.2377364643068364,1.0,0.5,318.0325391197814,47.7727436416352
IC_1396          ,324.7441,57.5637,0.25,418,-2.361,0.448,-4.539,0.425,1.064,0.08, -11.537,  4.511,  5,914,14,6.697,0.071,-0.023,0.107,1.627,0.129,clusters1/IC_1396.dat          ,IC 1396                 ,324.7441,57.5637,IC_1396,-0.4648954594319363,-0.8779012454691415,3.2,0.7,324.68984768407626,57.50865548435179
IC_1434          ,332.6266,52.8556,0.076,277,-3.919,0.1,-3.323,0.094,0.284,0.043, -60.435,  1.157,  3,2802,325,8.117,0.589,-0.158,0.218,1.406,0.117,clusters1/IC_1434.dat          ,IC 1434                 ,332.6266,52.8556,IC_1434,-0.1725522638287664,0.0242627928337739,1.9,0.5,332.6207565624481,52.85609598635371
IC_1442          ,333.9648,53.9942,0.119,93,-3.336,0.089,-3.282,0.085,0.263,0.038,        ,       ,   ,2710,112,7.665,0.151,-0.1,0.053,1.517,0.09,clusters1/IC_1442.dat          ,IC 1442                 ,333.9648,53.9942,IC_1442,0.3752759806967063,0.2297709012534117,5.1,0.5,333.9782981917212,53.99905714169973
IC_1590          ,13.202,56.6285,0.042,73,-2.373,0.186,-1.452,0.135,0.343,0.057,        ,       ,   ,2346,240,7.059,0.179,-0.157,0.14,1.269,0.103,clusters1/IC_1590.dat          ,IC 1590                 ,13.202,56.6285,IC_1590,-0.0862005224649298,0.1146023844541761,0.9,0.9,13.198172436509445,56.63129884705235
IC_166           ,28.0963,61.8575,0.053,694,-1.45,0.131,1.144,0.166,0.172,0.081, -40.303,  0.503,  4,5371,245,9.006,0.032,0.05,0.098,2.845,0.07,clusters1/IC_166.dat           ,IC 166                  ,28.0963,61.8575,IC_166,-0.1379960912008009,0.2786706422134557,3.2,0.5,28.09317865520032,61.86047271677057
IC_1805          ,38.2548,61.4842,0.098,132,-0.704,0.181,-0.71,0.212,0.445,0.041,        ,       ,   ,2187,211,6.839,0.06,0.31,0.024,2.329,0.048,clusters1/IC_1805.dat          ,IC 1805                 ,38.2548,61.4842,IC_1805,-0.7502545661316535,-0.4834817485725402,2.4,0.5,38.2136450215043,61.471527375698166
IC_1848          ,42.9094,60.4169,0.183,365,-0.374,0.182,-0.321,0.195,0.401,0.062, -57.452,  0.316,  2,2004,68,7.094,0.128,-0.1,0.114,1.879,0.039,clusters1/IC_1848.dat          ,IC 1848                 ,42.9094,60.4169,IC_1848,-1.326321777259892,0.2751378905204866,4.2,0.5,42.83257042410356,60.42474427716918
IC_2157          ,91.1865,24.0845,0.042,39,0.966,0.111,-2.99,0.086,0.442,0.037,        ,       ,   ,1885,155,7.552,0.185,-0.098,0.055,1.651,0.051,clusters1/IC_2157.dat          ,IC 2157                 ,91.1865,24.0845,IC_2157,0.1647872766770035,-0.0529596509147074,1.2,0.6,91.19198636974659,24.08289015970654
IC_2391          ,130.3821,-53.001,0.707,207,-24.764,0.848,23.278,0.72,6.572,0.147,  15.204,  1.577, 38,150,1,7.688,0.042,0.0,0.011,0.156,0.04,clusters1/IC_2391.dat          ,IC 2391                 ,130.3823,-53.0011,IC_2391,-0.13383102769148,-0.0902187932748201,1.9,0.5,130.29708766553892,-53.03543075458308
IC_2395          ,130.4714,-48.0722,0.197,269,-4.463,0.271,3.258,0.291,1.375,0.093,  19.065,  1.419,  8,710,6,7.149,0.032,-0.007,0.06,0.475,0.034,clusters1/IC_2395.dat          ,IC 2395                 ,130.4714,-48.0722,IC_2395,1.127030766656537,-0.6815617827013565,1.6,0.5,130.6076580277531,-48.12712041354358
IC_2488          ,141.8464,-57.019,0.189,424,-7.764,0.163,5.689,0.147,0.724,0.045,  -3.269,  0.218,  2,1271,31,8.254,0.09,0.094,0.078,0.888,0.022,clusters1/IC_2488.dat          ,IC 2488                 ,141.8465,-57.019,IC_2488,0.3174078275209631,0.5463152091825947,3.6,0.5,141.87266759163177,-56.99436974531112
IC_2581          ,156.8628,-57.6254,0.054,123,-7.276,0.065,3.598,0.068,0.349,0.036,        ,       ,   ,2449,153,7.109,0.225,0.01,0.139,1.395,0.044,clusters1/IC_2581.dat          ,IC 2581                 ,156.8629,-57.6254,IC_2581,0.2360187910028859,-0.2037508162628878,1.2,0.5,156.8731137481021,-57.63016644913063
IC_2602          ,160.4181,-64.4173,1.119,268,-17.638,0.876,10.68,0.842,6.552,0.168,  16.806,  1.829, 42,152,1,7.672,0.023,-0.016,0.012,0.295,0.034,clusters1/IC_2602.dat          ,IC 2602                 ,160.4183,-64.4173,IC_2602,0.5739558558089293,0.1148837538927658,1.7,0.5,160.918328555764,-64.37314318020421
IC_2714          ,169.3793,-62.711,0.14,911,-7.588,0.196,2.66,0.187,0.723,0.049, -13.184,  0.351, 15,1229,16,8.678,0.074,0.04,0.032,1.218,0.039,clusters1/IC_2714.dat          ,IC 2714                 ,169.3794,-62.711,IC_2714,-0.0547715687121765,-0.171413669876129,2.0,0.5,169.3737291179105,-62.71899116703262
IC_2948          ,174.7966,-63.4454,0.085,51,-5.981,0.094,0.644,0.07,0.387,0.034,        ,       ,   ,2371,148,6.87,0.376,0.026,0.22,1.304,0.119,clusters1/IC_2948.dat          ,IC 2948                 ,174.7967,-63.4454,IC_2948,-2.669536087111556,1.0201635250335404,1.4,0.5,174.65242299040935,-63.42067490167237
IC_348           ,56.1353,32.1837,0.086,80,4.43,0.623,-6.508,0.532,3.08,0.142,  21.013,  2.952,  6,321,3,6.78,0.067,0.302,0.264,0.331,0.337,clusters1/IC_348.dat           ,IC 348                  ,56.1353,32.1837,IC_348,-0.0047567259535552,-0.1605928424070586,0.2,0.5,56.13429713661414,32.15503553350719
IC_361           ,64.7376,58.2578,0.058,492,1.753,0.154,-1.132,0.133,0.231,0.082, -29.978,  1.771,  6,3408,93,9.061,0.032,-0.248,0.048,2.334,0.035,clusters1/IC_361.dat           ,IC 361                  ,64.7376,58.2578,IC_361,-0.2500505600165787,-0.4725739243582314,2.6,0.5,64.72961110404633,58.24985477086984
IC_4651          ,261.2132,-49.9155,0.2,812,-2.412,0.235,-5.05,0.24,1.06,0.067, -30.029,  0.957, 72,920,15,9.315,0.03,0.12,0.039,0.351,0.052,clusters1/IC_4651.dat          ,IC 4651                 ,261.2132,-49.9155,IC_4651,-0.1252898862573008,-0.0252883355215516,2.5,0.5,261.2010818777266,-49.91707427617663
IC_4665          ,266.5541,5.58,0.486,138,-0.896,0.317,-8.504,0.328,2.86,0.143, -14.142,  4.351, 18,329,15,7.728,0.081,-0.005,0.032,0.713,0.081,clusters1/IC_4665.dat          ,IC 4665                 ,266.5541,5.58,IC_4665,-0.3271750653682108,0.3815065365347063,2.5,0.5,266.49684421979583,5.646437108079893
IC_4725          ,277.9379,-19.1124,0.26,463,-1.687,0.209,-6.112,0.256,1.513,0.064,  10.314,  0.792, 10,638,13,8.223,0.152,0.169,0.051,1.358,0.044,clusters1/IC_4725.dat          ,IC 4725                 ,277.9379,-19.1124,IC_4725,0.2841588559997916,-0.1437333051368892,2.3,0.5,277.96490979611536,-19.12530604284335
IC_4756          ,279.6329,5.4203,0.55,441,1.268,0.263,-4.907,0.305,2.096,0.083, -24.563,  0.783, 53,472,1,8.989,0.041,0.006,0.034,0.631,0.037,clusters1/IC_4756.dat          ,IC 4756                 ,279.6329,5.4203,IC_4756,0.1109735245062388,-0.1046573914364152,4.3,0.5,279.6464312266091,5.407595555519039
IC_4996          ,304.1383,37.6489,0.028,79,-2.694,0.142,-5.353,0.173,0.489,0.033,        ,       ,   ,1876,104,7.068,0.093,0.182,0.237,1.813,0.079,clusters1/IC_4996.dat          ,IC 4996                 ,304.1383,37.6489,IC_4996,-0.01650991006901,-0.0883645006985895,0.6,0.5,304.1376631745052,37.64620121739779
IC_5146          ,328.3541,47.2401,0.081,76,-2.877,0.392,-2.59,0.41,1.239,0.125,  -0.977,  6.083,  2,657,34,6.867,0.135,-0.01,0.018,1.696,0.154,clusters1/IC_5146.dat          ,IC 5146                 ,328.3541,47.2401,IC_5146,0.1834421547582243,0.2187147104606861,0.9,0.9,328.37767161412575,47.25917129786367
Ivanov_4         ,105.1504,-8.8665,0.026,15,-1.38,0.127,0.977,0.303,0.365,0.078,        ,       ,   ,2507,248,7.061,0.402,-0.195,0.201,1.369,0.112,clusters1/Ivanov_4.dat         ,[IBP2002] CC04          ,105.1504,-8.8665,Ivanov_4,-0.3386770260759086,0.343087962442731,1.3,0.5,105.14256632085028,-8.858658876436042
Juchert_1        ,290.6282,12.6651,0.026,60,-1.768,0.16,-4.614,0.163,0.214,0.09,  33.342,  1.727,  3,3586,1055,8.59,0.915,0.286,0.268,4.228,0.746,clusters1/Juchert_1.dat        ,Juchert 1               ,290.6282,12.6651,Juchert_1,0.4104949106876701,0.1572472966352416,0.9,0.5,290.6349223670406,12.667612354692505
Juchert_13       ,180.4251,-64.0991,0.038,197,-8.138,0.127,0.246,0.11,0.272,0.062,  -6.596,  0.487,  2,2616,418,9.583,0.274,0.141,0.103,1.776,0.376,clusters1/Juchert_13.dat       ,Juchert 13              ,180.4252,-64.0991,Juchert_13,0.2503905684341116,-0.0515423439157043,1.1,0.5,180.43765515327487,-64.10022834282006
Juchert_19       ,60.5834,52.448,0.023,24,-0.184,0.275,0.185,0.105,0.114,0.06,        ,       ,   ,6387,2856,6.844,0.691,-0.212,0.206,3.204,0.148,clusters1/Juchert_19.dat       ,Juchert 19              ,60.5834,52.448,Juchert_19,0.1998477384927532,-0.0190472534574119,2.1,0.5,60.586341460044395,52.4478290965624
Juchert_20       ,62.6946,46.868,0.039,85,1.182,0.229,-1.67,0.154,0.327,0.088,        ,       ,   ,2649,277,7.249,0.565,-0.141,0.075,2.379,0.113,clusters1/Juchert_20.dat       ,Juchert 20              ,62.6946,46.868,Juchert_20,0.161755082212009,0.226729921849607,1.3,0.5,62.69971781382054,46.87290387525829
Juchert_9        ,58.8294,58.393,0.016,37,-0.224,0.116,-0.031,0.139,0.186,0.081,        ,       ,   ,4824,513,6.89,0.414,-0.248,0.161,2.591,0.098,clusters1/Juchert_9.dat        ,Juchert 9               ,58.8294,58.393,Juchert_9,0.7875723481771697,-0.175430827918106,2.0,0.5,58.84724737218076,58.39091512612633
Juchert_Saloran_1,4.074,59.9666,0.033,74,-1.69,0.169,-1.297,0.163,0.165,0.09, -76.907,  0.487,  2,5146,1268,8.805,0.892,-0.101,0.078,2.922,0.602,clusters1/Juchert_Saloran_1.dat,Name Juchert-Saloranta 1,4.074,59.9666,Juchert_Saloran_1,0.2442083737538425,-0.315129341995874,2.5,0.5,4.079431992900869,59.96309122512186
Kharchenko_1     ,92.1942,24.281,0.065,41,0.769,0.127,-2.311,0.16,0.417,0.082,  41.530,  0.760,  2,2299,146,8.756,0.093,-0.14,0.114,1.417,0.24,clusters1/Kharchenko_1.dat     ,Cl Kharchenko 1         ,92.1942,24.281,Kharchenko_1,-0.0279827749123668,0.0882530639461549,2.1,0.5,92.19343492082972,24.283199444842374
King_1           ,5.4557,64.3732,0.125,684,-4.952,0.172,-1.279,0.155,0.515,0.073, -53.284,  0.778, 26,1646,90,9.371,0.159,0.105,0.117,2.544,0.14,clusters1/King_1.dat           ,Cl King 1               ,5.4557,64.3732,King_1,0.5554507874267536,0.5314257145749934,4.3,0.5,5.500433931967081,64.39169164609656
King_10          ,343.7412,59.1667,0.035,219,-2.747,0.167,-2.087,0.162,0.242,0.071,        ,       ,   ,3231,382,7.421,0.466,0.133,0.179,3.142,0.084,clusters1/King_10.dat          ,Cl King 10              ,343.7412,59.1667,King_10,0.3017086413200465,0.2339363547157518,1.1,0.8,343.75163990733023,59.170848007892324
King_11          ,356.9201,68.6348,0.048,256,-3.401,0.218,-0.626,0.16,0.267,0.099, -34.755,  0.539,  9,2930,100,9.55,0.075,-0.176,0.081,3.024,0.083,clusters1/King_11.dat          ,Cl King 11              ,356.9201,68.6348,King_11,-0.1996395008053406,0.2316428838859483,1.9,0.5,356.9093819267956,68.63932940725742
King_12          ,358.2669,61.9546,0.045,72,-3.424,0.095,-1.423,0.071,0.3,0.032,        ,       ,   ,2658,154,7.111,0.132,-0.08,0.152,1.875,0.052,clusters1/King_12.dat          ,Cl King 12              ,358.2669,61.9546,King_12,-0.1371868636810331,0.1428282066734327,1.6,0.5,358.26060974702756,61.95767865787696
King_13          ,2.5564,61.1755,0.059,279,-2.759,0.12,-0.829,0.094,0.228,0.057, -61.086,  1.648,  5,3124,141,8.793,0.049,-0.174,0.086,2.142,0.065,clusters1/King_13.dat          ,Cl King 13              ,2.5564,61.1755,King_13,0.1175644264935638,0.0285948755895582,2.3,0.5,2.5608723120265475,61.17602437111615
King_14          ,8.0036,63.1644,0.045,109,-3.268,0.158,-0.995,0.165,0.4,0.064,        ,       ,   ,2213,64,7.662,0.212,-0.048,0.095,1.588,0.072,clusters1/King_14.dat          ,Cl King 14              ,8.0036,63.1644,King_14,-0.2737607859529634,0.3196949514630844,1.1,0.5,7.987894777498418,63.17267621025412
King_15          ,8.2411,61.855,0.038,72,-2.357,0.14,-0.826,0.136,0.306,0.064, -62.087,  0.765,  4,2672,157,8.557,0.339,0.0,0.209,1.831,0.18,clusters1/King_15.dat          ,Cl King 15              ,8.2411,61.855,King_15,0.78799359446253,-0.1176413919194345,1.1,0.5,8.276918138854631,61.85247275493631
King_16          ,10.903,64.1754,0.043,45,-2.914,0.209,-0.432,0.088,0.332,0.03,        ,       ,   ,2441,142,8.125,0.387,0.138,0.111,2.355,0.105,clusters1/King_16.dat          ,Cl King 16              ,10.903,64.1754,King_16,0.6103839587059863,0.054754806661438,1.2,0.5,10.935890663219409,64.17668151734388
King_17          ,77.0813,39.0663,0.035,48,-0.112,0.189,-1.24,0.259,0.232,0.06,        ,       ,   ,3267,208,8.604,0.798,-0.285,0.052,1.742,0.158,clusters1/King_17.dat          ,Cl King 17              ,77.0813,39.0663,King_17,0.6998762777588565,0.3425175431357301,1.0,0.5,77.09711017121607,39.072305914578266
King_18          ,343.0522,58.2911,0.044,67,-2.631,0.118,-2.069,0.098,0.311,0.051, -62.151,  0.520,  3,2374,146,8.385,0.061,-0.083,0.107,2.1,0.033,clusters1/King_18.dat          ,Cl King 18              ,343.0522,58.2911,King_18,-0.1995933139730041,-0.1122202406345334,2.5,0.5,343.0430357658357,58.28839127034126
