Cluster,RA_ICRS,DE_ICRS,r50,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,NRV,Dist,e_Dist,logage,e_logage,[Fe/H],e_[Fe/H],Av,e_Av,FileName,SimbadName,_RA.icrs,_DE.icrs,name,new_x,new_y,bandwidth,memb,new_ra,new_dec
NGC_6200         ,251.0322,-47.4582,0.109,433,-0.95,0.333,-2.244,0.351,0.307,0.265,        ,       ,   ,2352,205,7.138,0.06,0.166,0.122,1.858,0.038,clusters2/NGC_6200.dat         ,NGC 6200                ,251.0322,-47.4582,NGC_6200,0.2503579521662136,-0.0349339096005261,3.3,0.8,251.04122038080632,-47.45905065205494
NGC_6204         ,251.5338,-47.0269,0.056,209,-0.687,0.268,-0.57,0.233,0.809,0.066,        ,       ,   ,1142,24,8.062,0.196,0.096,0.055,1.504,0.057,clusters1/NGC_6204.dat         ,NGC 6204                ,251.5338,-47.0269,NGC_6204,0.0633853852788073,0.0681917078266627,0.9,0.5,251.53846501726656,-47.02347862939202
NGC_6208         ,252.327,-53.7128,0.144,340,-0.974,0.159,-1.502,0.163,0.832,0.049, -31.761,  0.845, 32,1143,19,9.282,0.023,-0.089,0.077,0.91,0.076,clusters1/NGC_6208.dat         ,NGC 6208                ,252.327,-53.7128,NGC_6208,0.1261306927708414,-0.1832828021888648,2.9,0.5,252.33768544912263,-53.72198704101349
NGC_6216         ,252.3346,-44.7223,0.054,180,-1.263,0.133,-2.549,0.105,0.369,0.048,        ,       ,   ,2065,218,7.187,0.413,0.144,0.061,2.586,0.059,clusters1/NGC_6216.dat         ,NGC 6216                ,252.3346,-44.7223,NGC_6216,0.0435550286169443,-0.2336739518760726,1.0,0.5,252.33630102146248,-44.72878353762052
NGC_6231         ,253.5351,-41.8008,0.143,606,-0.533,0.185,-2.162,0.177,0.598,0.06, -28.186,  0.458,  3,1429,79,6.944,0.072,0.11,0.072,1.533,0.046,clusters1/NGC_6231.dat         ,NGC 6231                ,253.5351,-41.8008,NGC_6231,0.4631805380742655,-0.5898632628479632,2.5,0.5,253.56002142165062,-41.824447886227645
NGC_6242         ,253.8798,-39.4761,0.101,496,1.16,0.23,-0.817,0.192,0.752,0.082,        ,       ,   ,1167,34,7.773,0.135,0.034,0.081,1.362,0.043,clusters1/NGC_6242.dat         ,NGC 6242                ,253.8798,-39.4761,NGC_6242,0.0435989303349204,0.1078087755444858,1.6,0.5,253.88257293213724,-39.47080691836125
NGC_6249         ,254.4448,-44.8079,0.044,59,1.726,0.199,-3.428,0.145,0.788,0.059,        ,       ,   ,1198,51,7.291,0.035,0.115,0.132,1.542,0.06,clusters1/NGC_6249.dat         ,NGC 6249                ,254.4448,-44.8079,NGC_6249,-0.0917068367866904,-0.2255899804037109,0.7,0.5,254.4386168105596,-44.818688943278865
NGC_6250         ,254.5055,-45.9478,0.089,84,0.438,0.201,-2.376,0.147,0.977,0.051,        ,       ,   ,954,39,7.283,0.049,-0.008,0.102,1.343,0.038,clusters1/NGC_6250.dat         ,NGC 6250                ,254.5055,-45.9478,NGC_6250,-0.2576154631230691,-0.0231328513563529,1.4,0.5,254.48324762155204,-45.949187164295246
NGC_6253         ,254.7786,-52.71,0.053,395,-4.532,0.183,-5.278,0.138,0.559,0.054, -27.932,  0.682, 19,1674,72,9.549,0.048,0.301,0.051,0.793,0.058,clusters1/NGC_6253.dat         ,NGC 6253                ,254.7786,-52.71,NGC_6253,-0.0504357520699283,-0.1332306874812592,0.8,0.5,254.77575038440028,-52.71456003520373
NGC_6259         ,255.1968,-44.6745,0.134,951,-1.012,0.138,-2.882,0.126,0.415,0.061, -36.049,  0.409, 21,1806,48,8.517,0.042,0.149,0.089,2.111,0.05,clusters1/NGC_6259.dat         ,NGC 6259                ,255.1968,-44.6745,NGC_6259,-0.0417978206599389,-0.2012667607660425,3.1,0.5,255.19493504611785,-44.68088522069171
NGC_6268         ,255.5261,-39.7128,0.071,121,0.894,0.182,-0.77,0.163,0.639,0.075, -14.452,  0.369,  4,1305,45,8.41,0.088,-0.153,0.078,1.54,0.074,clusters1/NGC_6268.dat         ,NGC 6268                ,255.5261,-39.7128,NGC_6268,0.0255429667099678,-0.1753054238064555,1.1,0.5,255.5275580101885,-39.72049674256123
