name,RA_ICRS,DE_ICRS,Dist,e_Dist,logage,e_logage,Av,e_Av,r_memb,m_binsize,m_memb,M_class,P_class,R_class,rc,rt,c,n0,unc_rc_max,unc_rt_max,unc_c_max,unc_n0_max,unc_rc_min,unc_rt_min,unc_c_min,unc_n0_min,steps_emcee,M_bp,M_rp,M(rt)_dv,M_bp_dv,M_rp_dv,M(rt_min),M(rt),M(rt_max),unc_M(rt_min),unc_M(rt),unc_M(rt_max)
NGC_6531,271.0312,-22.515,1161,49,7.106,0.107,0.992,0.04,0.5,0.5,0.5,M2,P1,R1,1.63407,4.7481,0.36533,31.89288,0.3825,2.9465,0.1663,18.8117,-0.2901,-1.0105,-0.1835,-10.0769,200000,373.101,538.741,582.742,529.684,632.0269999999998,400.981,446.081,595.321,18.025,21.146,25.366999999999997
NGC_654,26.0066,61.8791,2516,211,7.171,0.107,2.602,0.094,0.5,0.5,0.5,M1,P1,R1,1.05648,7.20609,0.51426,53.54881,0.1072,6.0986,0.389,9.7704,-0.0968,-2.0978,-0.3399,-7.2995,100000,2302.473,2174.244,2342.04,2468.692,2328.864,1952.465,2207.31,2207.31,55.205,56.17,62.736999999999995
NGC_6561,272.681,-16.7405,1461,86,7.237,0.077,1.386,0.043,0.6,1.0,0.6,M2,P1,R2,2.11081,4.10311,0.04317,12.99336,0.2469,0.3688,0.0145,3.9571,-0.188,-0.3218,-0.0127,-2.391,100000,269.361,295.975,248.0,249.643,259.965,266.135,266.135,280.652,11.545,11.259,12.755999999999998
NGC_6583,273.9587,-22.144000000000002,2162,132,8.972999999999997,0.062,1.836,0.128,0.5,0.5,0.5,M2,P2,R1,1.02004,5.64404,0.4618600000000001,35.77363,0.0707,2.3378,0.1933,4.5643,-0.0691,-1.0672,-0.2386,-4.133,100000,987.356,1052.092,1087.864,1198.743,1351.441,764.441,847.753,866.8919999999998,23.79,25.910999999999998,22.449
NGC_659,26.1027,60.6769,2601,159,7.3439999999999985,0.125,2.158,0.047,0.8,0.5,0.8,M2,P2,R1,2.64243,4.3265,0.18929,24.96321,0.7189,3.2265,0.1505,24.3397,-0.8638,-0.6525,-0.1141,-15.1989,200000,630.387,581.225,614.578,696.413,717.4730000000002,482.107,558.23,662.898,24.552,26.768,29.118000000000002
NGC_6613,274.9975,-17.0924,1352,31,7.535,0.202,1.481,0.054000000000000006,0.5,1.0,0.5,M2,P1,R2,3.21251,3.8216,0.15162,32.27882,0.3244,0.4346,0.1558,9.6209,-0.5314,-0.2633,-0.0932,-12.6965,100000,222.105,265.76,196.307,232.597,257.348,176.15200000000004,179.981,179.981,10.658,9.935,10.697000000000001
NGC_663,26.572,61.2159,2353,148,7.403,0.251,2.268,0.036000000000000004,0.5,0.5,0.5,M1,P1,R1,3.97666,10.13295,0.21566,22.4097,1.4758,7.5420000000000025,0.1497,28.7559,-0.867,-2.5944,-0.1263,-8.7654,100000,3281.312,3071.651,3164.138,3342.139,3260.688,2715.461,3086.4590000000007,3996.809,54.727,53.619,52.268
NGC_6631,276.7918,-12.0212,2365,186,8.189,0.675,2.727,0.146,0.5,0.5,0.5,M2,P2,R1,2.20636,4.463430000000002,0.16621,24.27102,0.7426,1.9332,0.1204,30.675,-0.4904,-0.8619,-0.0952,-10.0883,100000,698.681,624.182,699.8889999999999,729.173,728.4739999999998,574.516,662.438,721.5,22.838,21.64,24.675
NGC_6633,276.8645,6.6111,391,2,8.783,0.041,0.7659999999999999,0.107,0.5,1.0,0.5,M2,P1,R2,5.41765,6.43634,0.18806,44.72354,0.5851,0.6505,0.1926,12.8462,-0.8152,-0.4707,-0.1194,-16.4701,100000,283.78,260.181,313.126,323.881,310.931,261.36,264.9,266.67,8.765,9.157,10.169
NGC_6645,278.1637,-16.9148,1526,97,8.591000000000001,0.182,1.411,0.134,0.5,0.5,0.5,M2,P1,R1,1.57339,19.99032,0.04843,17.846,0.0306,3.0166,0.0355,0.4677,-0.028999999999999998,-2.6604,-0.0205,-0.3865,100000,1486.4489999999996,1273.571,1462.794,1601.299,1439.924,1322.934,1322.934,1322.934,23.974,20.47,24.76
NGC_6664,279.1246,-8.1879,1944,211,7.106,0.334,2.441,0.094,0.5,0.5,0.5,M1,P1,R1,2.91878,11.34993,0.09983,9.75374,0.774,7.5866,0.0887,6.2148,-0.4506,-3.5088,-0.0568,-2.2966,200000,1594.082,1615.402,1540.632,1518.0870000000002,1585.963,1362.0220000000004,1544.882,1591.622,45.488,38.731,49.24800000000001
