Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,nbstars07,pmRA*,e_pmRA*,pmDE,e_pmDE,plx,e_plx,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc
SAI_81,118.036,-28.12,244.585,-0.54,0.056,62,-2.003,0.059,2.944,0.059,0.21,0.033,8.21,1.53,13.34,4646.0,-1994.0,-4196.0,-43.0,11153.0
SAI_86,122.055,-36.606,253.588,-2.121,0.038,78,-3.111,0.118,2.931,0.116,0.219,0.05,8.75,1.72,12.8,3630.0,-1025.0,-3480.0,-134.0,9990.0
SAI_91,129.243,-50.045,267.626,-5.483,0.049,62,-4.085,0.114,4.229,0.099,0.251,0.04,8.72,1.18,12.68,3434.0,-141.0,-3415.0,-328.0,9143.0
SAI_94,131.171,-46.292,265.432,-2.176,0.045,52,-4.254,0.11,4.479,0.117,0.204,0.054,9.17,1.67,13.31,4592.0,-365.0,-4574.0,-174.0,9834.0
Saurer_2,126.366,-39.64,258.0,-1.005,0.026,40,-2.969,0.142,4.567,0.143,0.109,0.067,9.21,3.72,14.04,6433.0,-1337.0,-6292.0,-112.0,11543.0
Schuster_1,151.159,-55.857,281.008,-0.254,0.024,17,-5.102,0.432,3.768,0.258,0.139,0.108,,,,,,,,
Sher_1,165.262,-60.233,289.635,-0.242,0.013,35,-5.412,0.137,2.408,0.085,0.11,0.06,7.12,3.35,13.91,6066.0,2038.0,-5713.0,-25.0,8506.0
Shorlin_1,166.443,-61.231,290.566,-0.922,0.014,2,-5.869,0.052,2.189,0.115,0.083,0.031,,,,,,,,
Sigma_Ori,84.716,-2.582,206.816,-17.31,0.175,114,1.577,0.561,-0.512,0.393,2.48,0.077,,,,,,,,
Skiff_J0058+68.4,14.604,68.458,123.575,5.595,0.172,316,-2.063,0.085,0.366,0.091,0.319,0.046,9.15,1.77,11.97,2476.0,-1363.0,2053.0,241.0,9918.0
Skiff_J0458+43.0,74.547,43.036,162.984,0.152,0.067,16,0.595,0.085,-1.109,0.053,0.382,0.077,8.53,0.91,12.11,2643.0,-2527.0,773.0,7.0,10894.0
Skiff_J0507+30.8,76.78,30.846,173.754,-5.861,0.075,75,0.777,0.183,-0.692,0.083,0.171,0.079,9.39,0.98,13.92,6088.0,-6020.0,658.0,-621.0,14375.0
Skiff_J0614+12.9,93.691,12.87,197.312,-2.102,0.026,47,0.915,0.175,-1.956,0.088,0.249,0.062,8.48,1.31,12.72,3500.0,-3339.0,-1040.0,-128.0,11725.0
Skiff_J0619+18.5,94.829,18.546,192.836,1.556,0.157,11,-0.529,0.116,-1.284,0.078,0.644,0.06,7.92,0.41,10.88,1502.0,-1464.0,-333.0,40.0,9810.0
Skiff_J1942+38.6,295.611,38.645,72.719,7.547,0.043,55,-3.131,0.075,-5.898,0.097,0.372,0.039,9.17,0.28,11.88,2378.0,700.0,2251.0,312.0,7964.0
Skiff_J2330+60.2,352.553,60.257,113.016,-1.042,0.021,26,-3.484,0.166,-1.879,0.1,0.278,0.088,7.31,3.75,12.34,2942.0,-1150.0,2707.0,-53.0,9868.0
Stephenson_1,283.568,36.899,66.908,15.365,0.249,83,1.11,0.198,-3.01,0.247,2.779,0.056,7.45,0.22,7.68,343.0,129.0,304.0,90.0,8215.0
Stock_1,294.146,25.163,60.287,2.076,0.742,173,6.034,0.306,0.302,0.332,2.447,0.077,8.62,0.39,8.1,416.0,206.0,361.0,15.0,8141.0
Stock_10,84.808,37.85,171.714,3.556,0.541,142,-3.114,0.265,-0.464,0.246,2.759,0.086,7.91,0.44,7.86,373.0,-368.0,53.0,23.0,8708.0
Stock_12,353.923,52.685,111.459,-8.491,0.403,107,8.527,0.203,-1.846,0.151,2.261,0.055,8.05,0.29,8.29,454.0,-164.0,418.0,-67.0,8514.0
Stock_14,175.925,-62.537,295.211,-0.685,0.081,19,-6.388,0.074,0.714,0.063,0.385,0.032,7.56,0.4,11.9,2396.0,1020.0,-2168.0,-28.0,7633.0
Stock_16,199.86,-62.622,306.145,0.075,0.056,23,-6.574,0.575,-0.991,0.735,0.222,0.081,,,,,,,,
Stock_17,355.949,62.161,115.125,0.319,0.016,5,-3.691,0.043,-1.525,0.052,0.309,0.033,,,,,,,,
Stock_18,0.399,64.625,117.622,2.268,0.057,22,-2.692,0.075,-0.587,0.076,0.294,0.027,7.12,1.94,12.28,2860.0,-1325.0,2532.0,113.0,9991.0
Stock_2,33.856,59.522,133.407,-1.63,1.03,1178,15.966,0.65,-13.627,0.591,2.641,0.076,8.6,0.5,8.01,399.0,-274.0,290.0,-11.0,8619.0
Stock_20,6.318,62.624,119.929,-0.095,0.046,38,-3.237,0.056,-1.124,0.062,0.342,0.03,7.28,1.09,12.07,2598.0,-1296.0,2251.0,-4.0,9896.0
Stock_21,7.59,57.922,120.126,-4.835,0.052,57,-2.161,0.067,-1.787,0.092,0.51,0.036,8.45,1.21,11.55,2040.0,-1020.0,1758.0,-171.0,9524.0
Stock_23,49.075,60.377,139.927,2.376,0.754,83,-4.261,0.207,-0.865,0.206,1.613,0.056,8.04,0.61,8.98,625.0,-478.0,402.0,25.0,8827.0
Stock_24,9.945,61.967,121.563,-0.874,0.053,77,-1.395,0.088,0.037,0.081,0.326,0.034,8.08,1.25,12.36,2961.0,-1549.0,2522.0,-45.0,10206.0
Stock_4,28.039,57.055,131.148,-4.845,0.163,44,-1.115,0.141,0.341,0.12,0.729,0.058,7.85,0.56,10.61,1322.0,-866.0,992.0,-111.0,9260.0
Stock_5,31.119,64.365,130.731,2.605,0.193,101,-0.729,0.14,-2.069,0.122,1.013,0.047,8.12,1.21,9.95,975.0,-636.0,738.0,44.0,9006.0
Stock_7,37.431,60.627,134.701,0.02,0.279,129,-3.496,0.162,0.484,0.229,1.441,0.053,7.86,1.46,9.25,708.0,-498.0,503.0,0.0,8852.0
Stock_8,81.956,34.452,173.316,-0.223,0.153,275,0.094,0.145,-2.249,0.216,0.446,0.051,7.16,1.17,11.86,2354.0,-2338.0,274.0,-9.0,10682.0
Teutsch_1,84.871,33.347,175.559,1.207,0.011,29,0.653,0.137,-0.767,0.128,0.223,0.063,7.44,1.95,13.63,5318.0,-5301.0,411.0,112.0,13647.0
Teutsch_10,86.096,28.828,179.951,-0.288,0.044,67,0.834,0.159,-1.892,0.148,0.319,0.076,8.79,1.81,12.69,3450.0,-3450.0,2.0,-17.0,11790.0
Teutsch_103,142.145,-46.607,270.753,3.199,0.032,37,-5.055,0.12,3.342,0.187,0.356,0.079,8.56,2.36,12.24,2800.0,36.0,-2795.0,156.0,8761.0
Teutsch_106,164.836,-59.557,289.16,0.284,0.038,30,-5.909,0.152,2.115,0.088,0.1,0.039,9.48,1.74,14.28,7184.0,2357.0,-6786.0,35.0,9046.0
Teutsch_11,96.352,13.878,197.645,0.656,0.029,14,0.382,0.162,-0.619,0.134,0.176,0.059,9.3,1.4,14.0,6309.0,-6012.0,-1912.0,72.0,14479.0
Teutsch_12,96.428,13.611,197.916,0.597,0.047,40,-0.704,0.15,-0.98,0.176,0.234,0.069,8.92,1.78,12.94,3865.0,-3677.0,-1189.0,40.0,12076.0
Teutsch_125,333.316,58.939,103.742,2.092,0.065,22,-3.867,0.145,-2.78,0.129,0.469,0.047,6.94,2.72,11.62,2112.0,-501.0,2050.0,77.0,9076.0
Teutsch_126,333.455,55.712,101.977,-0.611,0.093,57,-1.82,0.077,-2.23,0.069,0.437,0.037,7.69,1.13,11.74,2227.0,-462.0,2178.0,-23.0,9067.0
Teutsch_127,334.747,56.121,102.806,-0.675,0.03,30,-3.344,0.152,-2.417,0.137,0.242,0.032,7.06,2.08,12.69,3450.0,-764.0,3364.0,-40.0,9706.0
Teutsch_13,100.984,1.404,210.827,-1.029,0.055,13,-0.097,0.093,0.518,0.078,0.155,0.038,6.9,1.94,13.59,5220.0,-4481.0,-2674.0,-93.0,13097.0
Teutsch_143a,167.141,-60.741,290.686,-0.338,0.033,95,-5.602,0.074,2.283,0.079,0.219,0.038,9.04,1.47,12.8,3623.0,1280.0,-3390.0,-21.0,7831.0
Teutsch_144,320.438,50.595,92.726,0.446,0.106,60,-1.89,0.119,-3.129,0.09,0.352,0.041,8.94,1.81,12.0,2517.0,-119.0,2514.0,19.0,8825.0
Teutsch_145,280.617,-5.249,27.24,-0.403,0.019,44,-1.635,0.222,-3.436,0.145,0.264,0.119,8.62,4.15,12.75,3545.0,3152.0,1622.0,-24.0,5435.0
Teutsch_14a,270.873,-22.12,7.917,-0.027,0.045,43,-0.369,0.087,-1.611,0.093,0.343,0.048,,,,,,,,
Teutsch_156,315.95,47.215,88.246,0.264,0.039,108,-3.432,0.201,-3.826,0.146,0.17,0.096,9.03,2.33,13.54,5113.0,156.0,5111.0,23.0,9648.0
Teutsch_2,85.342,39.237,170.752,4.643,0.05,65,0.533,0.159,-1.366,0.12,0.167,0.074,9.2,1.2,13.41,4807.0,-4729.0,770.0,389.0,13091.0
Teutsch_22,315.428,44.114,85.684,-1.522,0.027,84,-3.519,0.14,-4.84,0.15,0.188,0.074,8.36,2.62,13.39,4765.0,358.0,4750.0,-126.0,9288.0
Teutsch_23,356.976,62.996,115.792,1.008,0.048,28,-2.986,0.102,-1.387,0.07,0.29,0.038,6.75,2.69,12.69,3453.0,-1502.0,3109.0,60.0,10321.0
Teutsch_27,294.343,18.7,54.735,-1.24,0.009,13,-2.924,0.053,-6.308,0.059,0.245,0.046,7.51,3.03,13.17,4303.0,2483.0,3512.0,-93.0,6828.0
Teutsch_28,307.059,35.103,74.625,-2.078,0.058,47,-2.076,0.429,-3.936,0.283,0.242,0.138,9.28,3.74,13.1,4168.0,1104.0,4016.0,-151.0,8275.0
Teutsch_30,306.929,36.074,75.352,-1.426,0.026,29,-3.18,0.104,-5.692,0.143,0.539,0.041,7.46,3.41,11.23,1760.0,445.0,1703.0,-43.0,8076.0
Teutsch_31,163.209,-59.463,288.374,0.014,0.02,14,-6.155,0.101,2.451,0.103,0.145,0.039,9.22,2.35,13.84,5857.0,1846.0,-5558.0,1.0,8547.0
Teutsch_35,294.091,35.742,69.565,7.218,0.414,143,-0.683,0.188,-2.439,0.191,2.007,0.057,8.01,0.0,8.54,509.0,176.0,473.0,64.0,8177.0
Teutsch_38,131.523,-38.025,259.122,3.175,0.615,100,-8.636,0.211,3.669,0.18,1.502,0.058,7.57,0.01,9.14,671.0,-126.0,-658.0,37.0,8492.0
Teutsch_42,292.554,18.535,53.769,0.163,0.005,13,-3.116,0.115,-5.83,0.147,0.182,0.084,,,,,,,,
Teutsch_44,155.347,-54.45,282.18,2.262,0.024,30,-4.613,0.112,2.239,0.126,0.1,0.07,9.41,0.58,14.21,6962.0,1467.0,-6800.0,274.0,9668.0
Teutsch_49,109.596,-17.585,231.601,-2.192,0.077,59,-0.347,0.135,0.104,0.174,0.35,0.09,,,,,,,,
Teutsch_50,121.787,-36.057,253.008,-2.006,0.023,15,-2.899,0.135,2.327,0.079,0.229,0.062,8.79,3.06,13.38,4736.0,-1383.0,-4526.0,-165.0,10725.0
Teutsch_51,88.463,26.834,182.738,0.48,0.034,80,0.545,0.215,-0.345,0.188,0.216,0.095,8.83,2.62,13.35,4673.0,-4667.0,-223.0,39.0,13009.0
Teutsch_52,82.575,38.244,170.431,2.289,0.063,9,0.059,0.175,-0.136,0.357,0.158,0.098,,,,,,,,
Teutsch_54,341.858,59.781,107.907,0.577,0.027,15,-2.878,0.198,-1.762,0.071,0.212,0.056,,,,,,,,
Teutsch_61,113.661,-19.793,235.375,0.145,0.028,41,-2.277,0.084,3.145,0.098,0.31,0.045,7.66,1.64,12.37,2978.0,-1692.0,-2450.0,7.0,10327.0
Teutsch_66,143.368,-52.381,275.279,-0.475,0.02,17,-4.152,0.087,3.184,0.071,0.191,0.058,8.47,2.89,13.06,4095.0,376.0,-4077.0,-33.0,8946.0
Teutsch_7,296.928,24.273,60.767,-0.559,0.042,21,-2.944,0.093,-4.936,0.16,0.191,0.07,,,,,,,,
Teutsch_74,326.422,58.097,100.368,3.61,0.04,79,-3.244,0.161,-3.064,0.207,0.218,0.077,9.13,2.4,13.59,5221.0,-937.0,5126.0,328.0,10599.0
