Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,nbstars07,pmRA*,e_pmRA*,pmDE,e_pmDE,plx,e_plx,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc
FSR_0850,86.257,24.74,183.513,-2.3,0.083,118,1.301,0.161,-2.555,0.106,0.438,0.062,8.67,1.29,11.74,2232.0,-2226.0,-136.0,-89.0,10567.0
FSR_0852,88.363,25.19,184.109,-0.431,0.05,22,0.433,0.104,-1.923,0.118,0.321,0.056,8.03,1.7,12.6,3307.0,-3298.0,-236.0,-24.0,11641.0
FSR_0866,103.823,29.745,186.323,13.841,0.071,35,1.405,0.126,-0.443,0.091,0.812,0.045,9.33,0.29,10.49,1250.0,-1206.0,-133.0,299.0,9547.0
FSR_0883,91.094,22.037,188.09,0.164,0.047,27,0.825,0.072,-1.542,0.085,0.299,0.038,8.15,1.8,12.41,3030.0,-3000.0,-426.0,8.0,11348.0
FSR_0893,93.454,21.608,189.527,1.874,0.1,133,-0.355,0.147,-3.215,0.15,0.396,0.089,8.75,2.2,11.84,2328.0,-2295.0,-385.0,76.0,10642.0
FSR_0904,91.774,19.021,191.033,-0.754,0.087,93,-0.448,0.141,-1.107,0.111,0.446,0.05,7.34,1.86,11.82,2311.0,-2268.0,-442.0,-30.0,10617.0
FSR_0905,98.442,22.312,191.055,6.298,0.056,30,1.965,0.099,-3.85,0.07,0.649,0.033,8.59,0.5,10.77,1424.0,-1390.0,-271.0,156.0,9733.0
FSR_0921,91.295,16.684,192.851,-2.292,0.037,32,-0.006,0.136,-1.652,0.149,0.327,0.091,8.59,3.22,12.57,3260.0,-3176.0,-724.0,-130.0,11538.0
FSR_0923,92.644,16.971,193.227,-1.024,0.038,48,0.657,0.144,0.141,0.125,0.587,0.073,8.99,1.84,11.11,1667.0,-1622.0,-381.0,-29.0,9970.0
FSR_0932,91.087,14.573,194.597,-3.498,0.039,52,-0.36,0.24,-0.789,0.249,0.402,0.131,8.07,2.82,11.85,2340.0,-2261.0,-588.0,-142.0,10617.0
FSR_0935,98.778,17.74,195.293,4.508,0.047,40,-0.074,0.059,-1.056,0.092,0.377,0.052,8.53,1.15,12.06,2577.0,-2478.0,-677.0,202.0,10839.0
FSR_0937,93.425,15.006,195.312,-1.309,0.065,10,0.5,0.092,-0.114,0.173,0.085,0.075,9.08,1.59,14.43,7693.0,-7418.0,-2031.0,-175.0,15889.0
FSR_0941,95.445,15.776,195.557,0.77,0.041,56,0.758,0.176,0.139,0.197,0.198,0.129,8.67,2.23,13.2,4359.0,-4199.0,-1169.0,58.0,12594.0
FSR_0942,91.487,13.667,195.58,-3.599,0.069,136,-0.412,0.174,0.092,0.129,0.277,0.085,8.86,1.73,12.66,3409.0,-3277.0,-913.0,-214.0,11653.0
FSR_0948,96.48,15.859,195.95,1.689,0.03,35,-0.132,0.113,0.051,0.136,0.2,0.045,8.73,1.24,13.06,4098.0,-3939.0,-1125.0,120.0,12330.0
FSR_0951,95.573,14.65,196.609,0.351,0.164,169,0.242,0.12,0.07,0.105,0.553,0.05,8.72,0.81,11.22,1757.0,-1684.0,-502.0,10.0,10036.0
FSR_0953,94.762,14.15,196.68,-0.578,0.052,79,-0.134,0.191,-2.877,0.105,0.331,0.055,8.81,1.48,12.05,2567.0,-2459.0,-736.0,-25.0,10824.0
FSR_0968,92.843,11.863,197.802,-3.311,0.05,29,-0.356,0.099,-1.158,0.081,0.382,0.039,7.92,1.04,12.13,2662.0,-2530.0,-812.0,-153.0,10900.0
FSR_0974,98.156,12.553,199.633,1.597,0.049,48,-0.463,0.15,-0.345,0.139,0.265,0.089,7.95,1.55,12.95,3893.0,-3665.0,-1307.0,108.0,12076.0
FSR_0975,100.01,13.31,199.789,3.55,0.034,7,0.166,0.089,-0.817,0.096,0.173,0.041,,,,,,,,
FSR_0977,97.974,11.865,200.162,1.122,0.024,16,0.721,0.061,-1.533,0.076,0.453,0.04,8.93,1.0,11.7,2185.0,-2050.0,-753.0,42.0,10418.0
FSR_0979,97.814,11.081,200.785,0.621,0.046,60,0.225,0.167,-2.498,0.162,0.315,0.073,8.75,2.25,12.36,2969.0,-2775.0,-1053.0,32.0,11165.0
FSR_0985,92.953,7.02,202.125,-5.523,0.031,47,-0.433,0.167,-0.904,0.144,0.462,0.082,8.41,1.18,11.65,2139.0,-1972.0,-801.0,-205.0,10343.0
FSR_1025,102.62,6.612,206.934,2.798,0.011,10,0.202,0.083,-0.36,0.052,0.12,0.051,8.75,0.7,13.94,6136.0,-5464.0,-2776.0,299.0,14081.0
FSR_1032,99.072,4.011,207.634,-1.533,0.022,21,-1.372,0.39,-3.174,0.356,0.456,0.252,,,,,,,,
FSR_1051,103.046,3.662,209.756,1.834,0.053,26,-0.761,0.071,-2.639,0.087,0.399,0.059,8.41,1.44,11.97,2479.0,-2151.0,-1229.0,79.0,10562.0
FSR_1063,98.654,-0.265,211.248,-3.863,0.034,34,0.057,0.1,-1.541,0.097,0.393,0.069,8.04,1.77,11.88,2379.0,-2029.0,-1231.0,-160.0,10442.0
FSR_1083,110.503,3.557,213.24,8.42,0.034,96,-0.331,0.143,0.245,0.16,0.191,0.087,9.3,0.43,13.44,4884.0,-4041.0,-2648.0,715.0,12661.0
FSR_1085,103.29,-0.192,213.299,0.295,0.041,53,-1.05,0.097,0.262,0.108,0.596,0.075,7.76,0.61,10.97,1565.0,-1308.0,-859.0,8.0,9687.0
FSR_1113,107.3,-1.502,216.299,3.264,0.024,20,-0.566,0.079,1.913,0.083,0.254,0.048,9.44,0.14,12.88,3767.0,-3031.0,-2226.0,214.0,11586.0
FSR_1117,94.159,-8.945,217.046,-11.764,0.09,26,-3.711,0.218,0.704,0.354,1.049,0.13,7.19,1.52,9.8,911.0,-712.0,-537.0,-185.0,9067.0
FSR_1125,102.619,-5.444,217.671,-2.693,0.024,23,-0.255,0.123,1.055,0.092,0.113,0.1,8.08,2.25,14.13,6699.0,-5297.0,-4089.0,-314.0,14237.0
FSR_1144,104.298,-6.628,219.486,-1.744,0.047,60,-1.28,0.097,1.144,0.16,0.512,0.043,7.81,0.66,11.29,1808.0,-1395.0,-1149.0,-55.0,9802.0
FSR_1150,106.146,-6.621,220.32,-0.108,0.028,34,-0.5,0.095,0.102,0.084,0.224,0.055,8.85,0.9,12.73,3507.0,-2674.0,-2269.0,-6.0,11245.0
FSR_1153,108.573,-5.658,220.578,2.477,0.046,7,-1.376,0.069,1.206,0.084,0.33,0.058,,,,,,,,
FSR_1163,104.81,-9.078,221.9,-2.409,0.076,37,0.192,0.1,1.215,0.1,0.396,0.054,9.13,1.05,11.85,2345.0,-1744.0,-1565.0,-98.0,10205.0
FSR_1170,106.873,-8.879,222.656,-0.506,0.019,17,-0.639,0.104,-0.213,0.072,0.33,0.042,8.29,1.85,12.46,3110.0,-2287.0,-2107.0,-27.0,10834.0
FSR_1171,105.058,-10.32,223.119,-2.757,0.014,15,0.244,0.111,-0.858,0.191,0.21,0.05,,,,,,,,
FSR_1172,103.909,-11.035,223.244,-4.087,0.021,14,-0.486,0.116,-0.247,0.128,0.39,0.064,8.05,1.71,12.01,2526.0,-1835.0,-1726.0,-180.0,10320.0
FSR_1180,108.897,-9.453,224.09,1.0,0.067,58,-1.208,0.074,1.815,0.058,0.327,0.036,8.74,1.15,12.15,2686.0,-1929.0,-1868.0,46.0,10437.0
FSR_1183,108.357,-9.884,224.224,0.328,0.039,30,-1.419,0.083,1.217,0.067,0.428,0.048,8.26,0.4,11.71,2201.0,-1577.0,-1535.0,12.0,10035.0
FSR_1207,106.883,-13.328,226.613,-2.542,0.024,44,-1.289,0.184,0.762,0.146,0.348,0.095,8.38,1.29,12.0,2513.0,-1724.0,-1824.0,-111.0,10229.0
FSR_1209,106.785,-13.827,227.014,-2.856,0.033,41,-0.928,0.129,0.689,0.09,0.19,0.073,8.45,1.3,13.69,5467.0,-3723.0,-3994.0,-272.0,12707.0
FSR_1211,115.336,-9.607,227.247,6.516,0.038,57,-3.137,0.086,2.564,0.093,0.288,0.042,9.08,0.19,12.6,3311.0,-2233.0,-2415.0,375.0,10845.0
FSR_1212,106.941,-14.145,227.366,-2.867,0.031,24,-0.246,0.214,0.314,0.196,0.216,0.14,9.14,1.54,14.93,9682.0,-6550.0,-7114.0,-484.0,16502.0
FSR_1252,110.659,-18.703,233.063,-1.823,0.045,70,-1.822,0.077,2.99,0.076,0.263,0.052,8.93,0.9,12.41,3035.0,-1823.0,-2425.0,-96.0,10448.0
FSR_1253,111.583,-18.433,233.24,-0.924,0.057,102,-2.089,0.117,1.878,0.112,0.223,0.055,8.47,1.41,13.32,4607.0,-2757.0,-3691.0,-74.0,11695.0
FSR_1260,112.088,-19.679,234.563,-1.098,0.049,40,-3.159,0.071,3.444,0.069,0.321,0.048,8.15,0.71,12.38,2989.0,-1733.0,-2435.0,-57.0,10363.0
FSR_1284,109.992,-24.535,237.94,-5.096,0.042,38,-0.983,0.062,1.357,0.049,0.392,0.04,8.77,0.84,11.84,2330.0,-1231.0,-1966.0,-206.0,9771.0
FSR_1297,110.984,-25.879,239.554,-4.926,0.049,25,-2.775,0.183,3.314,0.236,0.754,0.053,,,,,,,,
FSR_1315,117.159,-26.974,243.202,-0.626,0.08,38,-2.435,0.079,3.123,0.106,0.208,0.048,7.91,0.82,13.25,4458.0,-2009.0,-3979.0,-48.0,11088.0
FSR_1335,123.012,-28.986,247.636,2.708,0.014,15,-2.67,0.033,3.172,0.125,0.131,0.036,7.05,1.03,14.21,6961.0,-2645.0,-6430.0,328.0,12729.0
FSR_1342,119.487,-31.511,248.139,-1.216,0.036,66,-2.375,0.104,2.693,0.116,0.229,0.053,7.41,2.42,13.21,4384.0,-1632.0,-4068.0,-93.0,10770.0
FSR_1352,116.614,-34.287,249.298,-4.706,0.033,16,-1.981,0.057,3.148,0.064,0.24,0.023,6.54,2.57,12.81,3643.0,-1283.0,-3397.0,-298.0,10205.0
FSR_1360,120.392,-34.483,251.068,-2.13,0.043,54,-1.798,0.137,2.838,0.112,0.375,0.051,8.19,1.24,11.89,2386.0,-773.0,-2256.0,-88.0,9389.0
FSR_1361,117.656,-36.401,251.561,-5.028,0.109,199,-2.531,0.084,4.006,0.076,0.359,0.039,8.46,1.73,12.17,2721.0,-857.0,-2571.0,-238.0,9550.0
FSR_1363,122.655,-34.616,252.182,-0.629,0.034,23,-1.465,0.05,1.98,0.06,0.24,0.035,8.35,0.65,12.84,3691.0,-1129.0,-3514.0,-40.0,10100.0
FSR_1378,120.304,-40.676,256.313,-5.443,0.069,134,-5.659,0.102,11.934,0.105,0.588,0.038,9.35,1.11,10.99,1578.0,-371.0,-1526.0,-149.0,8844.0
FSR_1380,122.764,-39.994,256.738,-3.493,0.036,53,-2.221,0.106,1.87,0.161,0.26,0.076,9.01,2.47,12.56,3245.0,-743.0,-3153.0,-197.0,9614.0
FSR_1399,131.035,-39.352,259.926,2.052,0.029,35,-4.111,0.124,3.387,0.102,0.315,0.034,8.99,2.7,12.33,2920.0,-510.0,-2874.0,104.0,9305.0
FSR_1402,136.441,-37.874,261.515,6.237,0.053,96,-3.724,0.17,1.739,0.126,0.194,0.081,9.48,0.89,13.2,4373.0,-641.0,-4300.0,475.0,9957.0
FSR_1407,142.445,-33.848,261.96,12.534,0.052,92,-4.806,0.079,5.983,0.109,0.275,0.06,9.61,0.57,12.69,3455.0,-471.0,-3340.0,749.0,9423.0
FSR_1419,124.711,-47.786,264.044,-6.613,0.032,11,-2.529,0.135,2.86,0.134,0.036,0.051,9.21,1.25,15.24,11165.0,-1150.0,-11031.0,-1285.0,14552.0
FSR_1435,134.218,-43.757,264.843,1.097,0.084,47,-3.9,0.178,2.732,0.122,0.436,0.091,,,,,,,,
FSR_1441,129.88,-47.098,265.524,-3.369,0.039,38,-3.723,0.093,3.567,0.09,0.189,0.052,8.85,1.39,13.19,4338.0,-337.0,-4317.0,-254.0,9692.0
FSR_1452,133.332,-47.871,267.586,-2.03,0.056,31,-4.603,0.083,3.722,0.079,0.363,0.025,8.37,1.49,11.81,2300.0,-96.0,-2296.0,-81.0,8743.0
FSR_1460,136.922,-47.827,269.139,-0.188,0.044,11,-3.49,0.123,3.944,0.211,0.225,0.074,,,,,,,,
FSR_1484,142.452,-50.697,273.715,0.369,0.035,30,-5.154,0.076,3.537,0.093,0.406,0.029,8.64,2.25,11.87,2370.0,153.0,-2365.0,15.0,8521.0
FSR_1509,147.006,-55.073,278.671,-1.086,0.028,32,-4.049,0.28,2.723,0.188,0.233,0.094,7.79,3.43,13.12,4203.0,633.0,-4154.0,-79.0,8754.0
FSR_1521,148.852,-56.605,280.44,-1.626,0.06,68,-4.886,0.178,4.467,0.237,0.201,0.092,9.72,2.72,13.47,4933.0,893.0,-4849.0,-139.0,8886.0
FSR_1530,152.216,-57.288,282.319,-1.073,0.041,46,-5.661,0.326,3.373,0.178,0.196,0.088,9.03,3.9,13.67,5421.0,1156.0,-5295.0,-101.0,8924.0
FSR_1580,171.917,-58.471,292.148,2.636,0.039,7,-5.244,0.082,1.408,0.079,0.125,0.024,,,,,,,,
FSR_1586,170.679,-62.302,292.823,-1.184,0.057,104,-5.934,0.141,1.513,0.182,0.211,0.07,,,,,,,,
FSR_1591,174.222,-62.731,294.511,-1.085,0.048,61,-5.469,0.338,1.67,0.237,0.255,0.142,,,,,,,,
FSR_1595,176.771,-62.639,295.614,-0.686,0.03,38,-6.779,0.123,1.373,0.117,0.179,0.054,8.84,2.45,13.66,5384.0,2327.0,-4855.0,-64.0,7727.0
FSR_1663,205.251,-60.203,309.057,2.078,0.044,84,-5.031,0.07,-2.464,0.128,0.27,0.075,9.11,2.42,12.34,2940.0,1851.0,-2282.0,106.0,6877.0
FSR_1723,238.769,-46.014,333.026,5.853,0.047,104,-0.196,0.19,-1.395,0.127,0.642,0.063,8.25,1.04,10.88,1496.0,1326.0,-675.0,152.0,7045.0
FSR_1750,255.523,-38.875,346.715,1.833,0.041,69,-1.604,0.261,-2.317,0.217,0.253,0.114,,,,,,,,
Feibelman_1,304.417,38.03,75.811,1.337,0.034,30,-3.192,0.069,-4.956,0.089,0.26,0.036,8.14,1.93,12.98,3944.0,966.0,3822.0,92.0,8305.0
Ferrero_1,275.063,-32.338,0.674,-8.158,0.188,98,0.149,0.153,-4.809,0.154,1.145,0.066,8.4,0.4,9.71,875.0,866.0,10.0,-124.0,7473.0
Ferrero_11,93.646,0.637,208.131,-7.899,0.231,71,-3.013,0.149,-4.339,0.101,1.24,0.089,8.45,0.57,9.57,820.0,-716.0,-383.0,-112.0,9064.0
Gaia_1,101.474,-16.733,227.325,-8.736,0.086,185,-0.079,0.122,1.249,0.155,0.145,0.096,9.5,0.59,14.05,6460.0,-4328.0,-4694.0,-981.0,13510.0
Gaia_2,28.136,53.058,132.15,-8.716,0.031,6,-1.181,0.162,1.299,0.109,0.099,0.077,9.9,0.5,13.65,5370.0,-3562.0,3935.0,-813.0,12536.0
Graham_1,164.134,-63.018,290.319,-2.995,0.028,14,-6.324,0.125,2.178,0.086,0.218,0.049,7.19,2.29,12.76,3558.0,1233.0,-3332.0,-185.0,7848.0
Gulliver_1,161.582,-57.034,286.514,1.795,0.089,82,-7.926,0.076,3.582,0.081,0.323,0.037,9.14,0.3,12.18,2731.0,775.0,-2617.0,85.0,8004.0
Gulliver_10,123.09,-38.676,255.772,-2.561,0.183,42,-4.443,0.24,4.965,0.154,1.652,0.083,6.97,0.62,8.94,613.0,-150.0,-593.0,-27.0,8511.0
Gulliver_11,67.996,43.62,159.434,-3.079,0.131,61,0.4,0.206,-2.229,0.149,1.061,0.068,8.51,0.76,9.79,907.0,-848.0,318.0,-48.0,9194.0
Gulliver_12,181.174,-61.308,297.351,1.057,0.076,43,-5.948,0.071,-0.41,0.088,0.559,0.034,8.33,0.58,11.18,1722.0,791.0,-1529.0,31.0,7702.0
Gulliver_13,104.858,-13.254,225.649,-4.263,0.115,72,-2.941,0.125,0.281,0.113,0.62,0.061,9.0,0.78,10.9,1513.0,-1055.0,-1079.0,-112.0,9456.0
Gulliver_14,259.928,-36.785,350.46,0.268,0.184,30,-3.719,0.073,-4.792,0.085,0.745,0.038,8.78,1.63,10.48,1247.0,1230.0,-206.0,5.0,7112.0
Gulliver_15,272.599,-16.723,13.423,1.181,0.089,58,-1.06,0.119,-1.638,0.1,0.506,0.067,7.93,2.08,11.55,2043.0,1986.0,474.0,42.0,6370.0
Gulliver_16,23.433,60.751,128.078,-1.697,0.046,43,-1.249,0.058,-0.614,0.083,0.208,0.065,8.15,1.39,13.45,4886.0,-3012.0,3845.0,-144.0,11986.0
Gulliver_17,302.654,35.871,73.233,1.315,0.063,98,-1.078,0.121,-3.029,0.147,0.555,0.044,7.84,0.92,11.06,1631.0,470.0,1561.0,37.0,8022.0
Gulliver_18,302.905,26.532,65.527,-3.971,0.124,180,-3.198,0.089,-5.646,0.1,0.613,0.055,7.6,1.59,11.01,1595.0,659.0,1448.0,-110.0,7816.0
Gulliver_19,344.19,61.106,109.525,1.255,0.157,132,0.893,0.128,-2.258,0.148,0.634,0.059,7.99,3.01,11.19,1732.0,-578.0,1632.0,37.0,9067.0
Gulliver_2,122.883,-37.404,254.617,-2.0,0.073,59,-4.951,0.095,4.576,0.119,0.696,0.056,6.82,0.51,10.69,1375.0,-364.0,-1325.0,-48.0,8805.0
Gulliver_20,273.736,11.082,38.831,13.069,0.704,46,1.039,0.251,-6.525,0.169,2.347,0.078,8.25,0.25,8.17,429.0,326.0,262.0,97.0,8018.0
Gulliver_21,106.961,-25.462,237.519,-7.965,0.364,121,-1.929,0.118,4.205,0.141,1.504,0.05,8.44,0.13,9.13,670.0,-356.0,-560.0,-92.0,8714.0
Gulliver_22,84.848,26.368,181.458,-2.524,0.119,22,-1.523,0.294,-4.605,0.12,1.257,0.112,,,,,,,,
Gulliver_23,304.255,38.055,75.761,1.456,0.046,114,-2.446,0.087,-4.444,0.095,0.246,0.05,8.72,2.18,12.67,3424.0,842.0,3318.0,87.0,8199.0
Gulliver_24,1.161,62.835,117.62,0.447,0.101,75,-3.241,0.096,-1.57,0.088,0.636,0.05,8.25,1.05,10.88,1498.0,-694.0,1327.0,11.0,9131.0
Gulliver_25,52.011,45.152,149.761,-9.407,0.331,39,0.96,0.108,-4.089,0.103,0.711,0.049,8.56,0.82,10.66,1356.0,-1156.0,673.0,-221.0,9520.0
Gulliver_26,80.689,35.27,172.055,-0.625,0.076,43,2.018,0.166,-2.874,0.131,0.36,0.079,8.58,1.62,12.13,2671.0,-2645.0,369.0,-29.0,10991.0
Gulliver_27,146.088,-54.117,277.648,-0.697,0.049,51,-4.658,0.066,3.467,0.079,0.322,0.027,8.78,1.09,12.17,2716.0,361.0,-2692.0,-33.0,8420.0
Gulliver_28,293.559,18.059,53.813,-0.902,0.555,57,-4.485,0.158,-3.4,0.136,1.581,0.065,8.53,0.97,9.01,634.0,374.0,512.0,-9.0,7981.0
Gulliver_29,256.745,-35.205,350.23,3.28,0.679,342,1.325,0.161,-2.206,0.174,0.905,0.061,7.03,1.02,10.36,1180.0,1161.0,-199.0,67.0,7181.0
Gulliver_3,122.536,-37.244,254.333,-2.144,0.035,34,-2.962,0.086,4.106,0.109,0.191,0.073,8.18,1.45,13.23,4435.0,-1196.0,-4267.0,-165.0,10448.0
Gulliver_30,313.673,45.996,86.299,0.646,0.083,51,-2.524,0.07,-3.697,0.066,0.427,0.043,8.18,1.37,11.78,2272.0,146.0,2267.0,25.0,8501.0
Gulliver_31,301.912,38.232,74.896,3.094,0.077,46,-1.5,0.063,-3.113,0.086,0.396,0.033,8.16,1.1,11.98,2493.0,648.0,2403.0,134.0,8058.0
Gulliver_32,98.383,7.478,204.24,-0.546,0.1,31,-0.879,0.104,2.304,0.107,0.577,0.061,9.11,0.73,11.14,1693.0,-1544.0,-695.0,-16.0,9908.0
Gulliver_33,318.159,46.345,88.629,-1.439,0.31,78,0.274,0.12,-3.959,0.123,0.867,0.063,7.68,0.69,10.23,1113.0,26.0,1113.0,-27.0,8387.0
Gulliver_34,167.722,-59.158,290.35,1.235,0.045,14,-6.179,0.059,2.409,0.072,0.223,0.034,,,,,,,,
Gulliver_35,150.379,-58.198,282.065,-2.386,0.09,19,-6.973,0.111,3.967,0.092,0.405,0.025,8.19,1.05,11.87,2365.0,493.0,-2311.0,-98.0,8179.0
Gulliver_36,123.185,-35.111,252.834,-0.537,0.14,96,-0.236,0.078,0.609,0.071,0.725,0.042,8.87,0.47,10.59,1311.0,-387.0,-1253.0,-12.0,8816.0
Gulliver_37,292.077,25.347,59.547,3.806,0.105,46,-0.775,0.074,-3.74,0.092,0.642,0.038,8.55,1.33,10.79,1438.0,727.0,1237.0,95.0,7712.0
Gulliver_38,300.808,34.435,71.209,1.814,0.06,94,-0.921,0.117,-2.594,0.134,0.4,0.043,8.91,1.64,11.94,2447.0,787.0,2315.0,77.0,7899.0
Gulliver_39,163.697,-58.05,287.984,1.395,0.045,36,-4.407,0.07,1.274,0.06,0.335,0.035,8.79,1.38,12.02,2536.0,782.0,-2411.0,61.0,7932.0
Gulliver_4,122.164,-37.5,254.386,-2.531,0.079,54,-2.912,0.061,3.033,0.062,0.3,0.04,9.06,0.94,12.19,2747.0,-738.0,-2643.0,-121.0,9455.0
Gulliver_40,163.095,-58.394,287.85,0.948,0.082,29,-7.686,0.044,2.476,0.061,0.589,0.041,7.62,0.64,11.09,1652.0,506.0,-1572.0,27.0,7989.0
Gulliver_41,277.718,-12.429,19.546,-1.16,0.032,44,-1.79,0.297,-4.709,0.257,0.171,0.132,,,,,,,,
Gulliver_42,303.935,37.851,75.45,1.552,0.054,42,-2.778,0.189,-5.452,0.217,0.181,0.074,,,,,,,,
Gulliver_43,296.283,24.558,60.718,0.091,0.075,49,-2.922,0.085,-5.796,0.104,0.351,0.051,7.76,2.88,12.38,2994.0,1464.0,2611.0,4.0,7354.0
Gulliver_44,127.249,-38.095,257.143,0.452,0.189,143,-0.666,0.136,2.301,0.132,0.785,0.053,8.65,0.78,10.44,1227.0,-273.0,-1196.0,9.0,8695.0
Gulliver_45,104.617,3.104,210.968,2.978,0.054,41,-0.76,0.201,2.51,0.19,0.284,0.085,9.49,1.08,12.61,3332.0,-2853.0,-1712.0,173.0,11323.0
Gulliver_46,186.234,-61.973,299.824,0.739,0.024,64,-6.946,0.093,0.125,0.07,0.181,0.055,7.07,2.67,13.31,4587.0,2281.0,-3979.0,59.0,7248.0
Gulliver_47,107.932,0.827,214.512,4.891,0.161,73,-1.957,0.093,-0.432,0.076,0.491,0.05,8.54,0.31,11.43,1930.0,-1585.0,-1089.0,164.0,9984.0
Gulliver_48,316.334,50.733,91.033,2.426,0.28,98,-4.781,0.141,-6.671,0.166,1.058,0.054,7.26,2.87,10.09,1042.0,-18.0,1041.0,44.0,8423.0
Gulliver_49,350.704,61.988,112.729,0.885,0.156,153,-4.022,0.112,-3.05,0.105,0.587,0.039,8.58,2.18,11.04,1613.0,-623.0,1488.0,24.0,9086.0
Gulliver_5,132.626,-45.509,265.458,-0.896,0.107,15,-5.102,0.034,4.904,0.071,0.406,0.026,7.58,1.5,11.65,2135.0,-169.0,-2128.0,-33.0,8771.0
Gulliver_50,181.362,-62.678,297.682,-0.275,0.106,62,-7.204,0.102,1.663,0.063,0.514,0.042,7.61,0.94,11.19,1731.0,804.0,-1533.0,-8.0,7690.0
Gulliver_51,30.335,63.801,130.555,1.968,0.075,39,-4.892,0.097,-0.149,0.079,0.647,0.026,8.56,1.42,10.93,1536.0,-998.0,1166.0,52.0,9410.0
Gulliver_52,161.669,-59.508,287.696,-0.378,0.153,47,-4.755,0.068,1.47,0.08,0.396,0.042,8.68,1.04,11.97,2482.0,754.0,-2364.0,-16.0,7945.0
Gulliver_53,80.975,34.012,173.226,-1.141,0.123,23,0.401,0.109,-2.837,0.106,0.384,0.038,8.11,0.96,11.93,2434.0,-2417.0,287.0,-48.0,10760.0
Gulliver_54,81.297,33.688,173.645,-1.103,0.102,30,-0.595,0.14,-7.299,0.175,0.791,0.061,8.45,0.4,10.38,1190.0,-1182.0,131.0,-22.0,9523.0
Gulliver_55,297.833,18.661,56.348,-4.127,0.085,23,-2.043,0.08,-2.53,0.072,0.369,0.026,9.3,0.92,11.87,2369.0,1309.0,1967.0,-170.0,7300.0
Gulliver_56,95.38,26.909,185.664,5.915,0.071,18,0.534,0.078,-3.24,0.071,0.458,0.04,8.61,0.44,11.58,2074.0,-2053.0,-203.0,213.0,10395.0
Gulliver_57,141.203,-48.075,271.313,1.699,0.11,94,-6.737,0.154,4.085,0.123,0.701,0.056,8.64,2.21,10.74,1403.0,32.0,-1402.0,41.0,8425.0
Gulliver_58,191.515,-61.965,302.3,0.9,0.074,196,-3.592,0.125,-0.353,0.116,0.398,0.055,8.82,2.76,11.97,2478.0,1324.0,-2094.0,38.0,7321.0
Gulliver_59,195.721,-64.6,304.16,-1.756,0.172,67,-2.408,0.101,-1.053,0.087,0.434,0.039,8.22,1.14,11.71,2199.0,1234.0,-1819.0,-67.0,7334.0
Gulliver_6,83.278,-1.652,205.246,-18.138,0.517,318,-0.007,0.39,-0.207,0.365,2.367,0.109,7.22,0.25,8.03,403.0,-346.0,-163.0,-125.0,8688.0
Gulliver_60,303.436,29.672,68.413,-2.639,0.109,117,1.752,0.092,0.219,0.117,0.899,0.037,7.97,1.01,10.13,1063.0,390.0,987.0,-48.0,8010.0
Gulliver_7,141.746,-55.127,276.463,-3.132,0.034,56,-3.547,0.151,3.108,0.1,0.084,0.048,8.68,1.5,13.71,5523.0,620.0,-5480.0,-301.0,9466.0
Gulliver_8,80.56,33.792,173.213,-1.549,0.102,29,-0.156,0.225,-2.982,0.152,0.872,0.087,7.33,0.52,10.28,1137.0,-1128.0,134.0,-30.0,9469.0
Gulliver_9,126.998,-47.929,265.037,-5.429,0.969,252,-5.992,0.272,6.915,0.375,1.985,0.092,7.25,0.42,8.74,559.0,-48.0,-555.0,-52.0,8406.0
Haffner_10,112.156,-15.364,230.804,1.021,0.029,163,-1.144,0.14,1.557,0.142,0.259,0.092,9.58,1.35,12.66,3409.0,-2154.0,-2641.0,60.0,10821.0
Haffner_11,113.855,-27.708,242.388,-3.539,0.048,140,-1.465,0.124,3.149,0.113,0.138,0.061,8.97,1.56,13.74,5605.0,-2593.0,-4957.0,-346.0,12004.0
Haffner_13,115.209,-30.073,245.035,-3.656,0.327,197,-6.184,0.26,5.879,0.193,1.742,0.074,7.31,0.0,8.75,562.0,-236.0,-508.0,-35.0,8591.0
Haffner_14,116.182,-28.384,243.987,-2.082,0.081,162,-1.821,0.073,1.728,0.092,0.226,0.041,8.46,1.52,13.07,4108.0,-1800.0,-3689.0,-149.0,10790.0
Haffner_15,116.38,-32.846,247.946,-4.158,0.031,151,-2.154,0.106,3.289,0.13,0.238,0.051,7.41,3.13,12.91,3811.0,-1427.0,-3523.0,-276.0,10383.0
Haffner_16,117.586,-25.458,242.091,0.473,0.031,83,-2.811,0.098,2.991,0.104,0.293,0.054,7.92,0.38,12.56,3244.0,-1518.0,-2867.0,26.0,10267.0
Haffner_17,117.899,-31.812,247.699,-2.529,0.027,98,-1.195,0.113,1.859,0.122,0.247,0.062,8.1,2.99,12.61,3331.0,-1263.0,-3079.0,-147.0,10084.0
Haffner_18,118.168,-26.387,243.157,0.449,0.032,62,-2.548,0.098,2.67,0.139,0.185,0.055,7.15,1.52,13.53,5083.0,-2295.0,-4535.0,39.0,11561.0
Haffner_19,118.193,-26.274,243.071,0.526,0.017,39,-2.494,0.123,2.507,0.119,0.169,0.059,7.56,0.8,13.69,5472.0,-2478.0,-4878.0,50.0,11867.0
