,_Glon,_Glat,Cluster,RA_ICRS,DE_ICRS,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,Dist,e_Dist,logage,e_logage,[Fe/H],e_[Fe/H],Av,e_Av,dr3_rv,e_dr3_rv,N_stars_dr3_rv,ra_duarte,dec_duarte
1373,6.368202,-1.605688,UBC_338,271.5448,-24.2436,93,0.031,0.111,-1.744,0.111,0.621,0.064,,,1559,59,7.626,0.192,0.305,0.1,2.793,0.049,-15.922933261573036,0.3516569579948866,5.0,271.5409821215451,-24.2458883189251
1374,7.079852,-0.960051,UBC_339,271.309,-23.3074,45,0.572,0.11,-0.557,0.123,0.392,0.061,,,2412,160,8.82,0.801,0.123,0.118,2.337,0.277,-19.66452614425261,2.35882990852956,2.0,271.3153567938324,-23.30537550495432
1375,7.404799,-0.204985,UBC_340,270.7678,-22.6536,79,0.708,0.111,-2.573,0.106,0.709,0.048,,,1388,40,8.109,0.771,0.237,0.248,2.13,0.227,-30.158469383458765,23.11952797505637,3.0,270.76947355224047,-22.657554719394557
1376,14.857709,-2.230486,UBC_341,276.4493,-17.0769,150,-0.195,0.136,-1.491,0.115,0.471,0.053,2.32,0.213,2041,76,7.102,0.478,0.146,0.196,2.695,0.061,9.740382144556436,0.6676925254901592,6.0,276.4588349758204,-17.078976408425422
1377,15.602142,0.977858,UBC_342,273.87,-14.9088,122,-0.17,0.119,-1.058,0.14,0.595,0.047,-15.267,1.317,1620,81,7.061,0.035,0.254,0.081,1.953,0.104,-12.18571477583103,1.2700990524970406,12.0,273.86579785915444,-14.89001187514322
1378,18.918472,0.442807,UBC_345,275.9663,-12.2384,76,-0.457,0.115,-1.715,0.122,0.464,0.055,,,2041,114,6.877,0.111,0.23,0.209,3.402,0.045,-18.90170687674135,3.09656230529629,4.0,275.9861161837945,-12.232713503689723
1379,20.402542,0.384191,UBC_347,276.7267,-10.9535,36,-1.4,0.12,-4.914,0.11,0.724,0.054,,,1376,34,8.278,0.692,0.09,0.231,3.1,0.215,-5.645703595133846,2.243390379185237,9.0,276.7343142319972,-10.96718674543406
1380,26.96329,-1.208137,UBC_352,281.2097,-5.8623,159,-1.392,0.123,-3.64,0.107,0.263,0.053,45.826,1.016,3866,228,6.737,0.021,0.14,0.142,2.21,0.024,51.681057323738806,0.9139436508170484,9.0,281.20872759530107,-5.852519954254464
1381,28.77328,-1.561482,UBC_354,282.3536,-4.4128,165,1.153,0.117,0.122,0.119,0.583,0.075,-9.126,0.724,1824,101,7.152,0.769,0.333,0.181,2.927,0.141,-10.329454203808222,0.6405579362324803,8.0,282.35684595460435,-4.432158905801755
1382,31.938281,-7.234986,UBC_356,288.8588,-4.1712,41,-0.614,0.148,-4.934,0.143,0.925,0.044,,,1055,35,8.165,0.29,0.137,0.083,1.701,0.105,5.03310205760831,18.30629376524446,3.0,288.87952512409856,-4.199443443609634
1383,124.751936,-3.186401,UBC_36,16.456,59.6345,96,-1.183,0.252,-0.472,0.237,0.405,0.147,-50.455,0.319,1900,159,8.432,0.237,-0.097,0.14,1.484,0.115,-53.45269397681092,0.3864805971569654,4.0,16.446679719536068,59.63256511445894
1384,46.850132,-3.596322,UBC_360,292.5424,10.6641,41,-1.611,0.105,-4.737,0.129,0.294,0.054,,,2933,156,8.779,0.655,0.114,0.126,1.906,0.166,,,,292.5328820589074,10.664645289840584
1385,49.64125,0.710017,UBC_361,290.0052,15.1601,47,-1.7,0.067,-5.244,0.084,0.628,0.048,,,1491,51,7.51,0.353,0.345,0.103,2.043,0.083,-9.171638575910496,23.857116175630196,2.0,290.0076546307459,15.147796752542366
1386,69.855102,-4.647426,UBC_364,306.2793,29.7325,45,-2.107,0.08,-6.528,0.116,0.554,0.041,9.745,0.803,1693,65,8.581,0.397,0.176,0.158,2.143,0.146,8.12933377022752,0.5588766215000555,6.0,306.2721944149063,29.73445855281263
1387,73.16213,3.936396,UBC_366,299.8491,37.2112,43,-1.199,0.09,-2.23,0.082,0.527,0.039,-1.879,0.609,1810,58,8.485,0.411,0.154,0.194,1.016,0.189,-2.4303985710218057,0.5414807671326831,3.0,299.849689910041,37.2119019654326
1388,76.614991,-0.453995,UBC_373,306.8601,37.6658,47,-0.595,0.119,-3.651,0.17,0.764,0.077,,,1232,26,7.236,0.169,0.015,0.061,3.035,0.013,50.37800610349487,15.083347281369209,2.0,306.87590211095073,37.6575018443634
1389,83.801216,4.12026,UBC_376,307.5092,46.166,87,-2.488,0.147,-3.372,0.135,0.356,0.067,,,2272,133,7.769,0.466,0.166,0.142,2.621,0.102,-9.8749158897983,4.705498338429661,2.0,307.51523544204605,46.16656098885109
1390,86.725242,-0.070768,UBC_377,314.8538,45.8534,57,-2.939,0.129,-2.831,0.094,0.319,0.044,,,2984,195,7.13,0.727,0.173,0.138,1.828,0.261,-34.33687185607078,0.7978019538611731,6.0,314.87143242562246,45.847049593941726
1391,87.599991,3.573057,UBC_378,311.5449,48.8572,62,-2.657,0.125,-3.916,0.108,0.634,0.048,,,1454,22,8.481,0.427,0.043,0.094,2.171,0.1,-43.17076457468109,1.7438712398036411,6.0,311.523037229736,48.84115060036449
1392,88.069018,2.486833,UBC_379,313.269,48.5343,62,-2.534,0.118,-2.452,0.133,0.368,0.056,,,2456,113,7.337,0.343,0.445,0.174,2.663,0.088,-34.039305020853945,1.651514730474378,2.0,313.27179329844006,48.5373800038887
